PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1,DGD Gulabi Bagh,,,6,0006,4,505,,8,0,False
2,DGD Saraswati Vihar,,,1,0002,2,501,0,8,0,False
3,DGD Shakur Pur I Block,,,1,0002,2,502,0,8,0,False
4,DGD Shalimar Bagh AC1,,,1,0002,2,503,0,8,0,False
5,DGD Bakkarwala,,,7,0021,3,501,0,8,0,False
6,DGD Shalimar B Block,,,1,0002,2,504,0,8,0,False
7,DGD Majra Dabas,,,1,0029,2,508,,8,0,False
8,DGD Prashant Vihar,,,1,0002,2,505,0,8,0,False
9,DGD Baljeet Nagar,,,7,0019,3,501,0,8,0,False
10,DGD Rohini Sector2,,,1,0030,2,501,0,8,0,False
11,DGD Rohini Sector8,,,1,0030,2,502,0,8,0,False
12,DGD Baprola,,,7,0021,3,502,0,8,0,False
13,DGD Rohini Sector13,,,1,0030,2,503,0,8,0,False
14,DGD Choukhandi,,,7,0019,3,502,0,8,0,False
15,DGD Rohini Sector18,,,1,0030,2,504,0,8,0,False
16,DGD Hiran Kudna,,,7,0021,3,503,0,8,0,False
17,DGD Dariyapur Kalan,,,2,0001,1,502,,8,0,False
18,DGD Janakpuri A4 Block,,,7,0019,3,503,0,8,0,False
19,DGD Timarpur,,,6,0004,4,501,,8,0,False
20,DGD Jeevan Park,,,7,0019,3,504,0,8,0,False
21,DGD Jaunti,,,1,0029,2,507,,8,0,False
22,DGD Jwala Puri,,,7,0021,3,504,0,8,0,False
23,DGD Wazirabad,,,6,0004,4,502,,8,0,False
24,DGD Katewara,,,2,0001,1,503,,8,0,False
25,DGD Khyala,,,7,0019,3,505,0,8,0,False
26,DGD Madanpur Dabas,,,1,0029,2,509,,8,0,False
27,DGD Madipur,,,7,0021,3,505,0,8,0,False
28,DGD Nizampur,,,1,0029,2,501,,8,0,False
29,DGD Mundka,,,7,0021,3,506,0,8,0,False
30,DGD Harewali,,,2,0001,1,505,,8,0,False
31,DGD Nangli Jalib,,,7,0020,3,501,0,8,0,False
33,DGD Nangloi,,,7,0021,3,507,0,8,0,False
34,DGD Rohini Court,,,1,0030,2,505,,8,0,False
35,DGD Sultanpuri,,,1,0030,2,506,,8,0,False
36,DGD Nawada,,,7,0019,3,506,0,8,0,False
37,DGD Kirari,,,1,0029,2,502,,8,0,False
38,DGD Mangol Puri,,,1,0030,2,524,,8,0,False
40,DGD Wazirpur JJ Colony,,,1,0002,2,516,0,8,0,False
42,DGD Ashok Vihar H Block,,,1,0002,2,558,,8,0,False
43,DGD New Ranjeet Nagar,,,7,0019,3,507,0,8,0,False
44,DGD Wazirpur PH3,,,1,0002,2,517,0,8,0,False
45,DGD Pul Bangash,,,6,0004,4,504,,8,0,False
46,DGD Bhorgarh,,,2,0001,1,506,,8,0,False
47,DGD Paschim Puri,,,7,0021,3,508,0,8,0,False
48,DGD Majnu Ka Tilla,,,6,0004,4,505,,8,0,False
49,DGD Paschim Vihar,,,7,0021,3,509,0,8,0,False
50,DGD Bakhtawar Pur,,,2,0031,1,503,,8,0,False
51,DGD Narela,,,2,0001,1,508,,8,0,False
52,DGD Prem Nagar,,,7,0019,3,508,0,8,0,False
53,DGD Kamla Nagar,,,6,0004,4,506,,8,0,False
54,DGD Raghubir Nagar,,,7,0020,3,502,0,8,0,False
55,DGD Khera Kalan,,,2,0031,1,504,,8,0,False
56,DGD Sannoth,,,2,0001,1,510,,8,0,False
57,DGD Shahjada Bagh,,,6,0006,4,506,,8,0,False
58,DGD Ram Dutt Enclave,,,7,0019,3,509,0,8,0,False
59,DGD Holambi Kalan PH1,,,2,0001,1,511,0,8,0,False
60,DGD Inderlok,,,6,0006,4,507,,8,0,False
61,DGD Ranjit Nagar,,,7,0019,3,510,0,8,0,False
62,DGD Tihar Jail Complex,,,7,0020,3,503,0,8,0,False
63,DGD Holambi Kalan PH2,,,2,0001,1,512,0,8,0,False
64,DGD Sarai Rohilla,,,6,0006,4,503,,8,0,False
65,DGD Jahangirpuri H Block,,,2,0003,1,502,0,8,0,False
66,DGD Tikri Kalan,,,7,0021,3,510,0,8,0,False
67,DGD Anand Parbat,,,6,0006,4,504,,8,0,False
68,DGD Tilak Vihar,,,7,0019,3,511,0,8,0,False
69,DGD Wazirpur Industrial Area,,,1,0002,2,518,0,8,0,False
70,DGD Mukund Pur,,,6,0004,4,507,,8,0,False
71,DGD Jahangirpuri B Block,,,2,0003,1,503,0,8,0,False
72,DGD Tilangpur Kotla,,,7,0021,3,511,0,8,0,False
73,DGD Vikaspuri,,,7,0019,3,512,0,8,0,False
74,DGD Jharoda Majra,,,6,0004,4,508,,8,0,False
75,DGD Bhalaswa JJ,,,2,0003,1,504,0,8,0,False
76,DGD Shiv Vihar,,,7,0019,3,513,0,8,0,False
77,DGD Bhalaswa Dairy,,,2,0003,1,505,,8,0,False
78,SPUHC Samta Vihar,,,6,0004,4,509,,8,0,False
79,DGD Mukhmail Pur,,,2,0031,1,505,,8,0,False
80,SPUHC Jagatpur,,,6,0004,4,510,,8,0,False
81,DGD Janakpuri C4 Block,,,7,0019,3,514,0,8,0,False
82,DGD Sangam Park,,,1,0002,2,559,,8,0,False
83,DGD Model Town,,,2,0003,1,507,,8,0,False
84,SPUHC Nathpura,,,6,0004,4,511,0,8,0,False
85,MH Gulabi Bagh,,,6,0006,4,508,,10,0,False
86,DGD Gur Mandi,,,2,0003,1,508,,8,0,False
87,DGD Keshav Puram B4,,,1,0002,2,519,0,8,0,False
88,MH Jawahar Nagar,,,6,0004,4,512,,10,0,False
89,DGD Keshav Puram C7,,,1,0002,2,520,0,8,0,False
90,DGD Rani Khera,,,1,0029,2,503,,8,0,False
91,MH Shakti Nagar,,,6,0004,4,513,,10,0,False
92,DGD Jaidev Park,,,1,0002,2,522,0,8,0,False
93,SPUHC Chander Vihar,,,7,0021,3,512,0,8,0,False
94,DGD Sawada Ghevra,,,1,0029,2,504,,8,0,False
95,DGD Ajmeri Gate,DGD Ajmeri Gate,,6,0006,4,518,,8,0,False
96,DGD Pitampura,,,1,0002,2,524,0,8,0,False
97,SPUHC Nihal Vihar,,,7,0021,3,513,0,8,0,False
98,MH Kamla Nehru,,,6,0006,4,509,,10,0,False
99,SPUHC Mohan Garden,,,7,0019,3,515,0,8,0,False
100,DGD Paharganj,DGD Paharganj,,6,0018,4,508,,8,0,False
101,SPUHC Begumpur,,,1,0030,2,507,0,8,0,False
102,SPUHC Swaroop Nagar,,,2,0001,1,514,0,8,0,False
103,SPUHC Prem Nagar II,,,1,0030,2,508,,8,0,False
104,DGD Dujana House,DGD Dujana House,,6,0006,4,519,,8,0,False
105,SPUHC Prem Nagar 3,,,1,0030,2,509,0,8,0,False
106,MCW Bagh Kare Khan,,,6,0006,4,510,,12,0,False
107,SPUHC Aman Vihar,,,1,0030,2,510,,8,0,False
108,MCW Basti Harphool Singh,,,6,0006,4,511,,12,0,False
109,SPUHC Budh Vihar,,,1,0030,2,511,,8,0,False
110,MCW Tilak Nagar,,,7,0019,3,516,0,12,0,False
111,MCW Burari,,,6,0004,4,514,,12,0,False
112,SPUHC Laxmi Vihar,,,1,0030,2,512,0,8,0,False
113,MCW Inder Lok,,,6,0006,4,512,,12,0,False
114,DGD Suiwalan,DGD Suiwalan,,6,0006,4,520,,8,0,False
115,MCW Katra Neel,,,6,0006,4,513,,12,0,False
116,MH Bakhthvar Pur,,,2,0031,1,506,0,10,0,False
117,DGD Motia Khan,DGD Motia Khan,,6,0018,4,509,,8,0,False
118,MH Madipur,,,7,0021,3,514,0,10,0,False
119,Maternity HomeBhaiParmanand,,,2,0003,1,509,0,10,0,False
120,MH Mangolpuri,,,1,0030,2,513,0,10,0,False
121,MH Subhash Nagar,,,7,0020,3,504,0,10,0,False
122,MH Narela,,,2,0001,1,516,,10,0,False
123,MCW Khyber Pass,,,6,0004,4,515,,12,0,False
124,DGD Nabi Karim,DGD Nabi Karim,,6,0018,4,510,,8,0,False
125,MH Shakurpur,,,1,0002,2,532,0,10,0,False
126,MH Tri Nagar,,,1,0002,2,533,0,10,0,False
127,MCW Ghanta Ghar,,,6,0004,4,516,,12,0,False
128,MH Vishnu Garden,,,7,0019,3,517,0,10,0,False
129,DGD Gali Samosan,DGD Gali Samosan,,6,0006,4,521,,8,0,False
130,MCW Pahari Dheeraj,,,6,0006,4,514,,12,0,False
131,MCW Fateh Nagar,,,7,0020,3,505,0,12,0,False
132,MCW Shastri Nagar,,,6,0006,4,515,,12,0,False
133,DGD Chamelian Road,DGD Chamelian Road,,6,0018,4,511,,8,0,False
134,DGD Ballimaran,DGD Ballimaran,,6,0006,4,522,,8,0,False
135,MCW Teliwara,,,6,0006,4,516,,12,0,False
136,MCW Timarpur,,,6,0004,4,517,,12,0,False
137,DGD Tank Road,DGD Tank Road,,6,0018,4,501,10000011,8,0,False
138,DGD RegarPura,DGD Regarpura,,6,0018,4,502,0,8,0,False
139,MH Rana Pratap Bagh,,,1,0002,2,534,0,10,0,False
140,MH Rohini Sec 3,,,1,0030,2,514,0,10,0,False
142,MH Rani Bagh,,,1,0002,2,536,0,10,0,False
143,MCW Hari Nagar,,,7,0020,3,506,0,12,0,False
144,IPP VIII Zakhira,,,6,0006,4,517,0,12,0,False
145,MCW Alipur,,,2,0031,1,507,,12,0,False
146,DGD Gali Guliyan,DGD Gali Guliyan,,6,0006,4,523,,8,0,False
147,MCW Azadpur,,,2,0003,1,510,,12,0,False
148,MCW Hastal,,,7,0019,3,518,0,12,0,False
149,MCW Badli,,,2,0031,1,508,,12,0,False
150,MCW Hastsal Janta Flats,,,7,0019,3,519,0,12,0,False
151,MCW Bawana,,,2,0001,1,519,,12,0,False
152,MCW Bharat Nagar,,,1,0002,2,560,,12,0,False
153,MCW T Camp Shiv Vihar,,,7,0019,3,520,0,12,0,False
154,MCW Budh Vihar,,,1,0030,2,515,,12,0,False
155,MCW Daryaganj,MCW Daryaganj,,6,0006,4,524,,12,0,False
156,MCW Dhaka Colony,,,2,0003,1,512,,12,0,False
157,MCW Hirankunda,,,7,0021,3,515,0,12,0,False
158,MCW Dev Nagar,MCW Dev Nagar,,6,0018,4,503,0,12,0,False
159,MCW Inder Nagar,,,2,0003,1,513,0,12,0,False
160,MCW Jawalapuri,,,7,0021,3,516,0,12,0,False
161,MCW Hauz Qazi,MCW Hauz Quazi,,6,0006,4,525,0,12,0,False
162,MCW Haiderpur,,,1,0002,2,561,,12,0,False
163,MCW Khayala,,,7,0019,3,521,0,12,0,False
164,MCW Kamra Bangash,MCW Kamra Bangash,,6,0006,4,526,,12,0,False
165,MCW Jhangirpuri A Block,,,2,0003,1,515,,12,0,False
166,MCW Jhangirpuri D Block,,,2,0003,1,516,,12,0,False
167,MCW Mahindra Park,,,7,0020,3,507,0,12,0,False
168,MCW Kanjhawala,,,1,0029,2,505,,12,0,False
169,MCW Katra Kushal Rai,MCW Katra Kushal Rai,,6,0006,4,527,,12,0,False
170,PHC MCW Nangloi,,,7,0021,3,517,0,12,0,False
171,MCW Keshavpuram,,,1,0002,2,539,0,12,0,False
172,MCW Reading Road NDMC,MCW Reading Road,,5,0014,5,509,0,12,0,False
173,MCW Kewalpark,,,2,0003,1,517,0,12,0,False
174,MCW New Moti Nagar,,,7,0019,3,522,0,12,0,False
175,MCW Kucha Pandit,MCW Kucha Pandit,,6,0006,4,528,,12,0,False
176,MCW Mangolpuri S Block,,,1,0030,2,516,,12,0,False
177,MCW Pitampura,,,1,0030,2,517,,12,0,False
178,MCW Paschim Vihar,,,7,0021,3,518,0,12,0,False
179,MCW RAMPURA,,,1,0002,2,542,0,12,0,False
180,MCW Lahori Gate,MCW Lahori Gate,,6,0006,4,529,,12,0,False
181,MCW Rohini Sec4,,,1,0030,2,518,0,12,0,False
182,MCW Rohini Sec7,,,1,0030,2,519,0,12,0,False
183,MCW Ramesh Nagar,,,7,0020,3,508,0,12,0,False
184,MCW Model Basti,MCW Model Basti,,6,0018,4,512,,12,0,False
185,MCW Ranjeet Nagar,,,7,0019,3,523,0,12,0,False
186,MCW ShabadDaulatpur,,,2,0031,1,501,0,12,0,False
187,MCW Tagore Garden,,,7,0020,3,509,0,12,0,False
188,MCW Shishu Kalyan Kendra NDMC,MCW Shishu Kalyan Kendra,,5,0014,5,510,0,12,0,False
189,MCW Satyawatipark,,,1,0002,2,546,0,12,0,False
190,MCW Motia Khan,MCW Motia Khan,,6,0018,4,513,,12,0,False
191,MCW Shakurpur,,,1,0002,2,547,0,12,0,False
192,MCW Babar Road NDMC,MCW Babar Road,,5,0014,5,511,0,12,0,False
193,MCW Uttam Nagar,,,7,0019,3,524,0,12,0,False
194,MCW Sultanpuri F Block,,,1,0030,2,520,,12,0,False
195,MCW Nabi Karim,MCW Nabi Karim,,6,0018,4,514,,12,0,False
196,MCW Sultanpuri CBlock,,,1,0030,2,521,0,12,0,False
197,FWC Vikas Puri,,,7,0019,3,525,0,8,0,False
198,MCW Vijay Nagar,,,2,0003,1,518,,12,0,False
199,MCW Naiwalan,MCW Naiwalan,,6,0018,4,504,0,12,0,False
200,MCW Kidwai Nagar NDMC,MCW Kidwai Nagar,,5,0014,5,501,0,12,0,False
201,MCW Baprolla,,,7,0021,3,519,0,12,0,False
202,MCW Naughera,MCW Naughera,,6,0006,4,530,,12,0,False
203,MCW Paharganj,MCW Paharganj,,6,0018,4,515,,12,0,False
204,MH Haiderpur,,,1,0002,2,550,0,10,0,False
205,MCW Kitchner Road NDMC,MCW Kichner Road,,5,0014,5,502,0,12,0,False
206,MH Shahbad Daulatpur,,,2,0031,1,502,0,10,0,False
207,MCW Janak Puri,,,7,0019,3,526,0,12,0,False
208,MCW Old Rajinder Nagar,MCW Old Rajinder Nagar,,6,0018,4,505,0,12,0,False
209,MCW Sarojini Nagar NDMC,MCW Sarojini Nagar,,5,0014,5,503,0,12,0,False
210,MCW Kirti Nagar,,,7,0020,3,510,0,12,0,False
211,MH Regar Pura,Mty. Home Regar Pura,,6,0018,4,506,0,10,0,False
212,MCW Golf Link NDMC,MCW Golf Link,,5,0014,5,505,0,12,0,False
213,MCW Raghubir Nagar,,,7,0020,3,511,0,12,0,False
214,MH Jawalapuri,,,7,0021,3,520,0,10,0,False
215,MCW Sadak Prem Narayan,MCW Sadak Prem Narayan (SPN),,6,0006,4,531,0,12,0,False
216,MCW Peeragarhi,,,7,0021,3,521,0,12,0,False
217,MCW Lal Bagh,,,2,0003,1,519,,12,0,False
218,Palika Maternity Hospital,Palika Maternity Hospital,,5,0014,5,506,,4,0,False
219,MCW Bawana,,,2,0001,1,520,0,12,0,False
220,Wazir Pur,,,1,0002,2,552,0,12,0,False
221,MCW Kanchan Puri,MCW Kanchan Puri,,6,0006,4,532,,12,0,False
222,MCW Narela 1,,,2,0001,1,521,,12,0,False
223,MCW Jahangirpuri B Block,,,2,0003,1,520,0,12,0,False
224,DGD Bawana,,,2,0001,1,522,,8,0,False
225,DGD Delhi High Court,DGD High Court,,5,0014,5,507,0,8,0,False
226,UHC DELHI GATE PSM MAMC,UHC-Delhi Gate (PSM MAMC),,6,0006,4,533,0,8,0,False
227,SPUHC Mansa Ram Park,,,7,0019,3,527,0,8,0,False
228,DGD Surajmal Vihar,,,10,0011,12,501,,8,0,False
229,DGD Chattarpur,,,9,0036,7,501,,8,0,False
230,DGD Jonapur,,,9,0035,7,501,,8,0,False
231,DGD Bersarai,,,9,0035,7,502,0,8,0,False
232,DGD Mayur Vihar Phase 1,,,4,0028,6,502,0,8,0,False
233,DGD Trilokpuri,,,4,0028,6,503,,8,0,False
234,DGD Begumpur,,,9,0025,7,504,0,8,0,False
