SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
1,Area-1 (070600101),Sub Facility Level -1,95,0006,6,64,0,0,0
2,Area-1 (ANM Area Code 070600901),Sub Facility Level-1,134,0006,6,87,0,0,0
3,Area-1,,105,0030,1,38,,0,0
4,Area-2,,105,0030,1,39,,0,0
5,Area-3,,105,0030,1,40,,0,0
6,Area-4,,105,0030,1,41,,0,0
8,Area-1,,86,0003,2,1,,0,0
9,Area-1 (070605701),&nbsp;,67,0006,6,2,0,0,0
10,Area-2,,86,0003,2,2,,0,0
11,Area-1,,30,0001,2,1,,0,0
12,Area-1 (070604901),&nbsp;,45,0004,6,1,0,0,0
13,Area-2,,30,0001,2,2,,0,0
14,Area-1,,18,0019,7,1,0,0,0
15,Area-1,,59,0001,2,3,,0,0
16,Area-2,,59,0001,2,4,,0,0
17,Area-1,,61,0019,7,2,0,0,0
18,Area-3,,59,0001,2,5,,0,0
19,Area-1,,47,0021,7,1,0,0,0
20,Area-2,,47,0021,7,2,0,0,0
21,Area-4,,59,0001,2,6,,0,0
22,Area-1,,62,0020,7,1,0,0,0
23,Area-1,,63,0001,2,7,,0,0
24,Area-2,,63,0001,2,8,,0,0
26,Area-3,,63,0001,2,9,,0,0
27,Area-1,,6,0002,1,5,0,0,0
28,Area-1,,5,0021,7,3,0,0,0
29,Area-4,,63,0001,2,10,,0,0
30,Area-2,,5,0021,7,4,0,0,0
31,Area -1,,64,0006,6,3,,0,0
32,Area-2,,6,0002,1,6,0,0,0
33,Area-3,,5,0021,7,5,0,0,0
34,Area-5,,63,0001,2,11,,0,0
35,Area-1,,24,0001,2,12,,0,0
36,Area-4,,5,0021,7,6,0,0,0
37,Area-6,,63,0001,2,13,,0,0
38,Area-2 (070605601),&nbsp;,64,0006,6,4,0,0,0
39,Area-1,,9,0019,7,3,0,0,0
40,Area-2,,24,0001,2,14,,0,0
41,Area-1,,21,0029,1,40,,0,0
42,Area-1 (070604501),&nbsp;,19,0004,6,3,0,0,0
44,Area-2,,9,0019,7,4,0,0,0
46,Area-2,,21,0029,1,41,,0,0
47,Area-3,,9,0019,7,5,0,0,0
48,Area-3,,24,0001,2,15,,0,0
49,Area-4,,9,0019,7,6,0,0,0
50,Area-3,,21,0029,1,42,,0,0
51,Area-1 (070606001),&nbsp;,78,0004,6,6,0,0,0
52,Area-1,,55,0031,2,30,,0,0
53,Area-2 (070606002),&nbsp;,78,0004,6,7,0,0,0
54,Area-1,,92,0002,1,10,0,0,0
55,Area-2,,55,0031,2,31,,0,0
56,Area-1,,12,0021,7,7,0,0,0
57,Area-3 (070606003),&nbsp;,78,0004,6,8,0,0,0
58,Area-2,,92,0002,1,11,0,0,0
59,Area-3,,55,0031,2,32,,0,0
60,Area-2,,12,0021,7,8,0,0,0
61,Area-3,,92,0002,1,12,0,0,0
62,Area-1 (070605301),&nbsp;,57,0006,6,10,0,0,0
63,Area-3,,12,0021,7,9,0,0,0
64,Area-1,,13,0030,1,9,,0,0
65,Area -2,,57,0006,6,11,,0,0
66,Area-4,,12,0021,7,10,0,0,0
67,Area-2,,13,0030,1,10,,0,0
68,Area -1 (070605501),&nbsp;,1,0006,6,8,0,0,0
