TCode,Name_E,Name_G,BID
0072,BORIO(0072),BORIO(0072),167
0077,PATHNA(0077),PATHNA(0077),168
0075,RAJMAHAL(0075),RAJMAHAL(0075),169
0070,SAHIBGANJ(0070),SAHIBGANJ(0070),170
0074,TALJHARI(0074),TALJHARI(0074),171
0254,CHANDIL(0254),CHANDIL(0254),172
0258,ADITYAPUR(GAMHARIA)(0258),ADITYAPUR(GAMHARIA)(0258),173
0260,GOBINDPUR(RAJNAGAR)(0260),GOBINDPUR(RAJNAGAR)(0260),174
0255,ICHAGARH(0255),ICHAGARH(0255),175
0253,KHARSAWAN(0253),KHARSAWAN(0253),176
0252,KUCHAI(0252),KUCHAI(0252),177
0257,NIMDIH(0257),NIMDIH(0257),178
0260,GOBINDPUR(RAJNAGAR)(0260),GOBINDPUR(RAJNAGAR)(0260),179
0233,BANO(0233),BANO(0233),180
0228,BOLBA(0228),BOLBA(0228),181
0231,JALDEGA(0231),JALDEGA(0231),182
0230,KOLEBIRA(0230),KOLEBIRA(0230),183
0226,KURDEG(0226),KURDEG(0226),184
0224,SIMDEGA(0224),SIMDEGA(0224),185
0229,THETHAITANGAR(0229),THETHAITANGAR(0229),186
0091,JHARIA-CUM-JORAPOKHAR-CUM-SINDRI (0091),JHARIA-CUM-JORAPOKHAR-CUM-SINDRI (0091),187
0151,BARHI(0151),BARHI(0151),190
0163,BARKAGAON(0163),BARKAGAON(0163),191
0092,BALIAPUR (0092),BALIAPUR (0092),25
0241,MANOHARPUR(0241),MANOHARPUR(0241),203
0245,CHAIBASA(0245),CHAIBASA(0245),204
0210,KHUNTI(0210),KHUNTI(0210),93
0058,KARON(0058),KARON(0058),22
0143,MAHUADANR(0143),MAHUADANR(0143),107
0259,SERAIKELA(0259),SERAIKELA(0259),208
0192,ANGARA,ANGARA,1
0060,PALOJORI(0060),PALOJORI(0060),192
0130,BISHRAMPUR,BISHRAMPUR,199
0114,POTKA,POTKA,149
0118,GURBANDHA,GURBANDHA,143
0117,DHALBHUMGARH,DHALBHUMGARH,211
0111,BORAM,BORAM,212
0110,PATAMDA,PATAMDA,212
0170,CHITARPUR,CHITARPUR,153
0169,DULMI,DULMI,153
0086,PURBI TUNDI*,PURBI TUNDI*,31
0118,GURBANDHA,GURBANDHA,211
0138,NILAMBAR-PITAMBARPUR(LESLIGANJ),NILAMBAR-PITAMBARPUR(LESLIGANJ),199
0190,KANKE(0190),KANKE(0190),217
0159,HAZARIBAG(0159),HAZARIBAG(0159),215
0050,PIRTANR(0050),PIRTANR(0050),62
0211,ERKI(TAMAR II)(0211),ERKI(TAMAR II)(0211),91
0142,BARWADIH(0142),BARWADIH(0142),103
00,---Select---,---Select---,216
0204,BUNDU(0204),BUNDU(0204),154
0188,BURMU(0188),BURMU(0188),155
0200,CHANHO(0200),CHANHO(0200),156
0190,KANKE(0190),KANKE(0190),157
0203,LAPUNG(0203),LAPUNG(0203),158
0199,MANDAR(0199),MANDAR(0199),159
0191,ORMANJHI(0191),ORMANJHI(0191),160
0197,RATU(0197),RATU(0197),161
0050,PIRTANR(0050),PIRTANR(0050),189
0224,SIMDEGA(0224),SIMDEGA(0224),213
0176,KATHIKUND(0176),KATHIKUND(0176),193
0218,GUMLA(0218),GUMLA(0218),194
0159,HAZARIBAG(0159),HAZARIBAG(0159),195
0108,SENHA(0108),SENHA(0108),196
0139,MEDININAGAR(DALTONGANJ)(0139),MEDININAGAR(DALTONGANJ)(0139),197
0124,HARIHARGANJ(0124),HARIHARGANJ(0124),198
0138,NILAMBAR-PITAMBARPUR(LESLIGANJ)(0138),NILAMBAR-PITAMBARPUR(LESLIGANJ)(0138),200
0234,SONUA(0234),SONUA(0234),201
0215,VERNO(0215),VERNO(0215),201
0067,GODDA(0067),GODDA(0067),202
0026,ITKHORI(0026),ITKHORI(0026),14
0031,TANDWA(0031),TANDWA(0031),17
0206,KARRA(0206),KARRA(0206),92
0209,MURHU(0209),MURHU(0209),94
0208,RANIA(0208),RANIA(0208),95
0207,TORPA(0207),TORPA(0207),96
0053,SARWAN(0053),SARWAN(0053),205
