SID,VCode
19,4610
19,4613
19,4614
19,4619
21,4636
23,4518
23,4519
23,4522
23,4530
23,4531
23,4534
23,4547
23,4643
25,4536
25,4604
25,4607
25,4608
25,4615
25,4617
25,4618
25,4620
25,4622
25,4625
25,4627
25,4629
25,4636
25,4639
25,4641
25,4644
25,4783
25,4792
26,4605
26,4657
26,4658
26,4676
26,4680
26,4789
29,4789
31,4589
31,4633
32,4623
33,23044
33,23047
33,23050
33,23158
33,23159
33,23160
33,23168
34,4361
34,4460
34,4467
34,4469
34,4500
34,4502
34,4508
34,4509
34,4512
34,4514
35,4505
36,4404
36,4406
36,4413
36,4416
37,4366
37,4367
37,4382
37,4383
37,4384
37,4479
38,4369
38,4371
38,4375
38,4376
39,4328
39,4353
40,23286
40,23288
40,23290
40,23291
41,4435
41,4443
41,4447
41,4466
42,4453
42,4455
44,23296
44,23298
44,23299
44,23300
44,23302
44,23308
44,23343
44,23402
44,23404
44,23410
44,23411
44,23412
44,23484
44,23492
44,23494
44,23496
44,23497
44,23507
44,23508
44,23509
44,23510
45,23288
45,23344
45,23345
45,23346
45,23347
45,23348
45,23349
45,23463
45,23514
45,23515
45,23516
45,23524
46,4386
46,4387
46,4481
47,23315
47,23316
47,23317
49,23408
49,23418
49,23470
53,23359
53,23440
53,23441
53,23448
53,23449
53,23451
53,23452
54,4375
55,23287
55,23292
55,23293
55,23313
56,4429
56,4436
56,4438
56,4489
58,4342
58,4346
58,4350
58,4379
58,4380
58,4395
58,4397
59,4904
59,4909
59,4910
59,4921
60,4898
60,4901
60,4905
61,4884
61,4885
61,4886
61,4887
61,4888
61,4914
61,4915
62,4876
62,4919
62,4920
62,4924
62,4926
62,4932
62,4935
62,4936
63,4959
64,4956
64,4957
65,4950
65,4954
65,4955
65,4960
66,4908
67,4877
67,4890
67,4891
67,4892
67,4893
67,4896
68,4873
68,4874
68,4875
68,4876
69,4869
69,4878
69,4880
69,4882
70,4861
70,4863
70,4867
71,4911
72,4881
73,4935
74,4913
47,23318
47,23319
47,23320
47,23325
47,23326
47,23367
47,23372
47,23380
47,23381
47,23385
47,23386
47,23390
47,23391
47,23397
48,4439
48,4488
49,23304
49,23365
49,23387
49,23394
49,23395
49,23398
49,23401
75,4928
76,3853
76,3857
76,3858
76,3859
76,3886
76,3889
76,3901
77,3893
77,3895
77,3896
77,3924
77,3927
78,4007
78,4008
78,4012
78,4025
79,3930
79,3931
79,3967
79,3972
79,3973
79,3978
79,3980
79,3983
79,3987
79,4000
79,4015
80,3927
80,4024
82,3927
83,3900
83,3968
84,23290
84,23292
84,23528
85,3937
86,3863
86,3940
86,3943
86,3945
87,3874
87,3988
87,3993
88,3965
89,23369
89,23391
89,23506
89,23530
89,23531
90,4014
90,4018
91,3902
91,3905
91,3913
91,3941
92,23343
92,23350
92,23351
92,23356
92,23358
92,23359
92,23430
92,23487
92,32633
93,23327
93,23450
93,23454
93,23455
93,23456
93,23457
93,23458
94,23332
94,23336
94,23338
94,23341
94,23353
94,23356
95,23415
95,23416
95,23421
95,23422
95,23424
95,23425
95,23426
95,23427
96,23434
96,23483
96,23485
97,3793
99,3585
99,3701
99,3754
99,3767
99,3769
99,3770
99,3772
99,3774
99,3775
99,3800
100,23465
100,23466
100,23467
100,23469
100,23472
100,23477
101,3647
102,23395
102,23431
102,23486
102,23489
102,23498
103,3655
103,3708
103,3709
103,3758
103,3759
105,3791
106,23379
106,23488
106,32634
107,3740
107,3745
107,3751
107,3822
108,23518
108,23521
109,3787
110,23410
110,23429
110,23437
110,23438
110,23439
110,23442
110,23443
110,23444
110,23475
111,3585
112,3817
113,3660
114,3801
115,32623
115,32626
161,22886
161,22887
161,22930
164,22794
164,22795
164,22896
165,22797
165,22799
165,22805
165,22821
165,22831
165,22839
165,22840
167,22876
167,22917
167,22925
167,22926
167,22929
167,22931
169,22898
171,22690
171,22691
171,22692
171,22693
171,22694
171,22697
171,22698
171,22699
173,22619
173,22620
173,22621
173,22622
173,22623
173,22625
173,22626
173,22627
174,20572
174,20646
174,20698
174,20699
174,20700
174,20702
174,20705
174,20708
174,20709
174,20710
174,20711
174,20717
174,20718
177,22674
177,22695
177,22731
177,22732
177,22733
178,20552
178,20564
178,20568
178,20579
178,20580
178,20584
178,20585
178,20586
178,20587
178,20588
178,20590
178,20591
178,20592
178,20593
178,20594
178,20608
179,20562
179,20675
179,20686
179,20766
179,20767
179,20769
179,20785
179,20786
179,20787
179,20790
179,20792
179,20793
179,20794
179,20795
180,22667
180,22669
180,22675
180,22676
180,22677
180,22678
180,22679
180,22680
180,22681
180,22682
182,20579
182,20654
182,20657
182,20658
182,20664
183,22651
193,20601
193,20602
193,20603
193,20604
193,20609
193,20610
193,20620
193,20624
193,20694
193,20696
193,20697
194,22708
194,22709
194,22710
194,22727
194,22728
194,22729
195,22635
195,22711
195,22712
195,22721
195,22723
195,22724
195,22725
195,22726
196,20719
196,20721
196,20722
196,20723
196,20724
196,20725
196,20742
197,20665
197,20666
197,20667
197,20668
197,20674
197,20675
197,20797
197,20834
198,20595
198,20596
198,20612
198,20613
198,20617
198,20619
199,20524
199,20525
199,20526
199,20527
199,20531
199,20532
199,20533
183,22652
183,22654
183,22656
183,22661
183,22662
184,20623
184,20772
184,20774
184,20775
184,20776
184,20777
184,20780
184,20835
185,20618
185,20630
185,20729
185,20740
