TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0001,1,Vijaypur,Vijaypur,1,3380,True
0002,2,Beerpur,Beerpur,1,3381,True
0003,3,Sheopur,Sheopur,1,3382,True
0004,4,Badoda,Badoda,1,3383,True
0005,5,Karahal,Karahal,1,3384,True
0006,6,Ambah,Ambah,2,3385,True
0007,7,Porsa,Porsa,2,3386,True
0008,8,Morena,Morena,2,3387,True
0009,9,Joura,Joura,2,3388,True
0010,10,Kailaras,Kailaras,2,3389,True
0011,11,Sabalgarh,Sabalgarh,2,3390,True
0012,12,Ater,Ater,3,3391,True
0013,13,Bhind,Bhind,3,3392,True
0014,14,Mehgaon,Mehgaon,3,3393,True
0015,15,Gormi,Gormi,3,3394,True
0016,16,Gohad,Gohad,3,3395,True
0017,17,Ron,Ron,3,3396,True
0018,18,Mihona,Mihona,3,3397,True
0019,19,Lahar,Lahar,3,3398,True
0020,20,Gird,Gird,4,3399,True
0021,21,Pichhore,Pichhore,4,3400,True
0022,22,Bhitarwar,Bhitarwar,4,3401,True
0023,23,Chinour,Chinour,4,3402,True
0024,24,Seondha,Seondha,5,3403,True
0025,25,Indergarh,Indergarh,5,3404,True
0026,26,Datia,Datia,5,3405,True
0027,27,Bhander,Bhander,5,3406,True
0028,28,Pohri,Pohri,6,3407,True
0029,29,Shivpuri,Shivpuri,6,3408,True
0030,30,Narwar,Narwar,6,3409,True
0031,31,Karera,Karera,6,3410,True
0032,32,Kolaras,Kolaras,6,3411,True
0033,33,Badarwas,Badarwas,6,3412,True
0034,34,Pichhore,Pichhore,6,3413,True
0035,35,Khaniyadhana,Khaniyadhana,6,3414,True
0036,36,Niwari,Niwari,8,3415,True
0037,37,Orchha,Orchha,8,3416,True
0038,38,Prithvipur,Prithvipur,8,3417,True
0039,39,Jatara,Jatara,8,3418,True
0040,40,Mohangarh,Mohangarh,8,3419,True
0041,41,Palera,Palera,8,3420,True
0042,42,Baldeogarh,Baldeogarh,8,3421,True
0043,43,Khargapur,Khargapur,8,3422,True
0044,44,Tikamgarh,Tikamgarh,8,3423,True
0045,45,Gaurihar,Gaurihar,9,3424,True
0046,46,Laundi,Laundi,9,3425,True
0047,47,Chandla,Chandla,9,3426,True
0048,48,Nowgong,Nowgong,9,3427,True
0049,49,Maharajpur,Maharajpur,9,3428,True
0050,50,Chhatarpur,Chhatarpur,9,3429,True
0051,51,Rajnagar,Rajnagar,9,3430,True
0052,52,Bada Malhera,Bada Malhera,9,3431,True
0053,53,Ghuwara,Ghuwara,9,3432,True
0054,54,Bijawar,Bijawar,9,3433,True
0055,55,Buxwaha,Buxwaha,9,3434,True
0056,56,Ajaigarh,Ajaigarh,10,3435,True
0057,57,Panna,Panna,10,3436,True
0058,58,Devendranagar,Devendranagar,10,3437,True
0059,59,Gunnor,Gunnor,10,3438,True
0060,60,Amanganj,Amanganj,10,3439,True
0061,61,Pawai,Pawai,10,3440,True
0062,62,Shahnagar,Shahnagar,10,3441,True
0063,63,Raipura,Raipura,10,3442,True
0064,64,Bina,Bina,11,3443,True
0065,65,Khurai,Khurai,11,3444,True
0066,66,Malthone,Malthone,11,3445,True
0067,67,Banda,Banda,11,3446,True
0068,68,Shahgarh,Shahgarh,11,3447,True
0069,69,Rahatgarh,Rahatgarh,11,3448,True
0070,70,Sagar,Sagar,11,3449,True
0071,71,Garhakota,Garhakota,11,3450,True
0072,72,Rehli,Rehli,11,3451,True
0073,73,Kesli,Kesli,11,3452,True
0074,74,Deori,Deori,11,3453,True
0075,75,Hatta,Hatta,12,3454,True
0076,76,Patera,Patera,12,3455,True
0077,77,Batiyagarh,Batiyagarh,12,3456,True
0078,78,Patharia,Patharia,12,3457,True
0079,79,Damoh,Damoh,12,3458,True
0080,80,Jabera,Jabera,12,3459,True
0081,81,Tendukheda,Tendukheda,12,3460,True
0082,82,Raghurajnagar,Raghurajnagar,13,3461,True
0083,83,Majhgawan,Majhgawan,13,3462,True
0084,84,Birsinghpur,Birsinghpur,13,3463,True
0085,85,Nagod,Nagod,13,3464,True
0086,86,Unchahara,Unchahara,13,3465,True
0087,87,Rampur Baghelan,Rampur Baghelan,13,3466,True
0088,88,Kotar,Kotar,13,3467,True
0089,89,Amarpatan,Amarpatan,13,3468,True
0090,90,Ramnagar,Ramnagar,13,3469,True
0091,91,Maihar,Maihar,13,3470,True
0092,92,Teonthar,Teonthar,14,3471,True
0093,93,Jawa,Jawa,14,3472,True
0094,94,Sirmour,Sirmour,14,3473,True
0095,95,Mangawan,Mangawan,14,3474,True
0096,96,Semaria,Semaria,14,3475,True
0097,97,Hanumana,Hanumana,14,3476,True
0098,98,Mauganj,Mauganj,14,3477,True
0099,99,Naigarhi,Naigarhi,14,3478,True
0100,100,Huzur,Huzur,14,3479,True
0101,101,Raipur - Karchuliyan,Raipur - Karchuliyan,14,3480,True
0102,102,Gurh,Gurh,14,3481,True
0103,103,Bandhogarh,Bandhogarh,15,3482,True
0104,104,Chandia,Chandia,15,3483,True
0105,105,Manpur,Manpur,15,3484,True
0106,106,Pali,Pali,15,3485,True
0107,107,Nowroazabad,Nowroazabad,15,3486,True
0108,108,Jawad,Jawad,18,3487,True
0109,109,Singoli,Singoli,18,3488,True
0110,110,Neemuch,Neemuch,18,3489,True
0111,111,Jiran,Jiran,18,3490,True
0112,112,Manasa,Manasa,18,3491,True
0113,113,Bhanpura,Bhanpura,19,3492,True
0114,114,Malhargarh,Malhargarh,19,3493,True
0115,115,Garoth,Garoth,19,3494,True
0116,116,Shamgarh,Shamgarh,19,3495,True
0117,117,Mandsaur,Mandsaur,19,3496,True
0118,118,Daloda ,Daloda ,19,3497,True
0119,119,Sitamau,Sitamau,19,3498,True
0120,120,Suwasara,Suwasara,19,3499,True
0121,121,Piploda,Piploda,20,3500,True
0122,122,Jaora,Jaora,20,3501,True
0123,123,Alot,Alot,20,3502,True
0124,124,Tal,Tal,20,3503,True
0125,125,Sailana,Sailana,20,3504,True
0126,126,Bajna,Bajna,20,3505,True
0127,127,Rawti,Rawti,20,3506,True
0128,128,Ratlam,Ratlam,20,3507,True
0129,129,Khacharod,Khacharod,21,3508,True
0130,130,Nagda,Nagda,21,3509,True
0131,131,Mahidpur,Mahidpur,21,3510,True
0132,132,Ghatiya,Ghatiya,21,3511,True
0133,133,Tarana,Tarana,21,3512,True
0134,134,Ujjain,Ujjain,21,3513,True
0135,135,Badnagar,Badnagar,21,3514,True
0136,136,Susner,Susner,56,3515,True
0137,137,Nalkheda,Nalkheda,56,3516,True
0138,138,Badod,Badod,56,3517,True
0139,139,Agar,Agar,56,3518,True
0140,140,Shajapur,Shajapur,22,3519,True
0141,141,Gulana,Gulana,22,3520,True
0142,142,Moman Badodiya,Moman Badodiya,22,3521,True
0143,143,Shujalpur,Shujalpur,22,3522,True
0144,144,Kalapipal,Kalapipal,22,3523,True
0145,145,Tonk Khurd,Tonk Khurd,23,3524,True
0146,146,Sonkatch,Sonkatch,23,3525,True
0147,147,Dewas,Dewas,23,3526,True
0148,148,Kannod,Kannod,23,3527,True
0149,149,Satwas,Satwas,23,3528,True
0150,150,Bagli,Bagli,23,3529,True
0151,151,Hatpiplya,Hatpiplya,23,3530,True
0152,152,Khategaon,Khategaon,23,3531,True
0153,153,Badnawar,Badnawar,25,3532,True
0154,154,Sardarpur,Sardarpur,25,3533,True
0155,155,Dhar,Dhar,25,3534,True
0156,156,Gandhwani,Gandhwani,25,3535,True
0157,157,Kukshi,Kukshi,25,3536,True
0158,158,Dahi,Dahi,25,3537,True
0159,159,Manawar,Manawar,25,3538,True
0160,160,Dharampuri,Dharampuri,25,3539,True
0161,161,Depalpur,Depalpur,26,3540,True
0162,162,Hatod,Hatod,26,3541,True
0163,163,Sawer,Sawer,26,3542,True
0164,164,Indore,Indore,26,3543,True
0165,165,Mhow ,Mhow ,26,3544,True
0166,166,Barwaha,Barwaha,27,3545,True
0167,167,Maheshwar,Maheshwar,27,3546,True
0168,168,Kasrawad,Kasrawad,27,3547,True
0169,169,Segaon,Segaon,27,3548,True
0170,170,Bhikangaon,Bhikangaon,27,3549,True
0171,171,Khargone,Khargone,27,3550,True
0172,172,Gogaon,Gogaon,27,3551,True
0173,173,Bhagwanpura,Bhagwanpura,27,3552,True
0174,174,Jhiranya,Jhiranya,27,3553,True
0175,175,Barwani,Barwani,28,3554,True
0176,176,Pati,Pati,28,3555,True
0177,177,Thikri,Thikri,28,3556,True
0178,178,Anjad,Anjad,28,3557,True
0179,179,Rajpur,Rajpur,28,3558,True
0180,180,Pansemal,Pansemal,28,3559,True
0181,181,Niwali,Niwali,28,3560,True
0182,182,Sendhwa,Sendhwa,28,3561,True
0183,183,Varla,Varla,28,3562,True
0184,184,Jirapur,Jirapur,30,3563,True
0185,185,Khilchipur,Khilchipur,30,3564,True
0186,186,Rajgarh,Rajgarh,30,3565,True
0187,187,Biaora,Biaora,30,3566,True
0188,188,Sarangpur,Sarangpur,30,3567,True
0189,189,Narsinghgarh,Narsinghgarh,30,3568,True
0190,190,Pachore,Pachore,30,3569,True
0191,191,Lateri,Lateri,31,3570,True
0192,192,Sironj,Sironj,31,3571,True
0193,193,Kurwai,Kurwai,31,3572,True
0194,194,Basoda,Basoda,31,3573,True
0195,195,Tyonda,Tyonda,31,3574,True
0196,196,Nateran,Nateran,31,3575,True
0197,197,Shamshabad,Shamshabad,31,3576,True
0198,198,Gyaraspur,Gyaraspur,31,3577,True
0199,199,Gulabganj,Gulabganj,31,3578,True
0200,200,Vidisha,Vidisha,31,3579,True
0201,201,Berasia,Berasia,32,3580,True
0202,202,Huzur,Huzur,32,3581,True
0203,203,Sehore,Sehore,33,3582,True
0204,204,Shyampur,Shyampur,33,3583,True
0205,205,Ashta,Ashta,33,3584,True
0206,206,Jawar,Jawar,33,3585,True
0207,207,Ichhawar,Ichhawar,33,3586,True
0208,208,Nasrullaganj,Nasrullaganj,33,3587,True
0209,209,Budni,Budni,33,3588,True
0210,210,Rehti,Rehti,33,3589,True
0211,211,Raisen,Raisen,34,3590,True
0212,212,Gairatganj,Gairatganj,34,3591,True
0213,213,Begamganj,Begamganj,34,3592,True
0214,214,Goharganj,Goharganj,34,3593,True
0215,215,Baraily,Baraily,34,3594,True
0216,216,Badi,Badi,34,3595,True
0217,217,Silwani,Silwani,34,3596,True
0218,218,Udaipura,Udaipura,34,3597,True
0219,219,Bhainsdehi,Bhainsdehi,35,3598,True
0220,220,Athner,Athner,35,3599,True
0221,221,Betul ,Betul ,35,3600,True
0222,222,Chicholi,Chicholi,35,3601,True
0223,223,Ghodadongari,Ghodadongari,35,3602,True
0224,224,Shahpur,Shahpur,35,3603,True
0225,225,Multai,Multai,35,3604,True
0226,226,Amla,Amla,35,3605,True
0227,227,Khirkiya,Khirkiya,36,3606,True
0228,228,Sirali,Sirali,36,3607,True
