PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
5,PHC Astoan,PHC Astoan,,8,0044,4,501,,1,0,False
6,PHC Budhera,PHC Budhera,,8,0044,4,502,,1,0,False
7,PHC Simra,PHC Simra,,8,0038,7,501,,1,0,False
8,PHC Jeron,PHC Jeron,,8,0038,7,502,,1,0,False
9,PHC Luharguwa,PHC Luharguwa,,8,0038,7,503,,1,0,False
10,PHC Barana (Thar),PHC Barana (Thar),,8,0041,9,501,,1,0,False
11,PHC Bamhori Kala,PHC Bamhori Kala,,8,0041,9,502,,1,0,False
12,PHC Kachhora,PHC Kachhora,,8,0041,9,503,,1,0,False
13,PHC Orchha,PHC Orchha,,8,0036,6,501,,1,0,False
14,PHC Teharka,PHC Teharka,,8,0036,6,502,,1,0,False
15,PHC Taricharkala,PHC Taricharkala,,8,0036,6,503,,1,0,False
16,PHC Chandawani,PHC Chandawani,,8,0036,6,504,,1,0,False
17,PHC Hata,PHC Hata,,8,0042,5,501,,1,0,False
18,PHC Baisa,PHC Baisa,,8,0042,5,502,,1,0,False
19,PHC Sarkanpur,PHC Sarkanpur,,8,0042,5,503,,1,0,False
20,PHC Dingora,PHC Dingora,,8,0039,8,501,,1,0,False
21,PHC Mohangarh,PHC Mohangarh,,8,0039,8,502,,1,0,False
22,PHC Lidhora,PHC Lidhora,,8,0039,8,503,,1,0,False
23,PHC Jarua,PHC Jarua,,8,0039,8,504,,1,0,False
24,PHC Chandera,PHC Chandera,,8,0039,8,505,,1,0,False
25,PHC Niwari,PHC Niwari,,8,0036,6,505,,1,0,False
28,CHC Parasi,CHC Parasi,,49,0315,10,501,,1,0,False
29,CHC Phunga,CHC Phunga,,49,0315,10,502,,1,0,False
30,PHC SAKRA,PHC SAKRA,,49,0315,10,503,,1,0,False
31,CHC Jaithari,CHC Jaithari,,49,0316,13,501,,1,0,False
32,CHC Venkatnagar,CHC Venkatnagar,,49,0316,13,502,,1,0,False
33,PHC Sindhora,PHC Sindhora,,49,0316,13,503,,1,0,False
34,PHC Lapta,PHC Lapta,,49,0316,13,504,,1,0,False
36,PHC Cholana,PHC Cholana,,49,0316,13,505,,1,0,False
37,CHC Kotma,CHC Kotma,,49,0314,12,501,,1,0,False
38,PHC Kothi,PHC Kothi,,49,0314,12,502,,1,0,False
39,PHC Beliyabadi,PHC Beliyabadi,,49,0314,12,503,,1,0,False
40,PHC Nigwani,PHC Nigwani,,49,0314,12,504,,1,0,False
41,PHC Malga,PHC Malga,,49,0314,12,505,,1,0,False
42,PHC Bijuri,PHC Bijuri,,49,0314,12,506,,1,0,False
43,PHC Chondi-pondi,PHC Chondi-pondi,,49,0314,12,507,,1,0,False
44,CHC Rejendragram (Pushprajgarh),CHC Rejendragram (Pushprajgarh),,49,0317,11,501,,1,0,False
45,CHC Karpa,CHC Karpa,,49,0317,11,502,,1,0,False
46,PHC Amarkantak,PHC Amarkantak,,49,0317,11,503,,1,0,False
47,PHC Koylari,PHC Koylari,,49,0317,11,504,,1,0,False
48,PHC Ghata,PHC Ghata,,49,0317,11,505,,1,0,False
49,PHC Khamraudh,PHC Khamraudh,,49,0317,11,506,,1,0,False
50,PHC Benibari,PHC Benibari,,49,0317,11,507,,1,0,False
51,PHC Karkeli,PHC Karkeli,,15,0103,14,501,,1,0,False
52,PHC Bilaspur,PHC Bilaspur,,15,0103,14,502,,1,0,False
53,PHC Harwah,PHC Harwah,,15,0103,14,503,,1,0,False
54,PHC Ghulghuli,PHC Ghulghuli,,15,0103,14,504,,1,0,False
56,PHC Amarpur,PHC Amarpur,,15,0105,15,501,,1,0,False
57,PHC Indwar,PHC Indwar,,15,0105,15,502,,1,0,False
58,PHC Tala,PHC Tala,,15,0105,15,503,,1,0,False
59,PHC Dhamokhar,PHC Dhamokhar,,15,0105,15,504,,1,0,False
60,PHC Bijori,PHC Bijori,,15,0105,15,505,,1,0,False
61,PHC Chauri,PHC Chauri,,15,0106,16,501,,1,0,False
62,PHC Jamudi,PHC Jamudi,,15,0106,16,502,,1,0,False
63,CHC Pali,CHC Pali,,15,0106,16,503,0,1,0,False
64,CHC Chandia,CHC Chandia,,15,0104,,501,,1,0,False
65,CHC MANPUR,CHC MANPUR,,15,0105,15,506,,1,0,False
66,PHC Bhishampur,PHC Bhishampur,,13,0089,22,501,,1,0,False
67,PHC Tala,PHC Tala,,13,0089,22,502,,1,0,False
68,PHC Majgawan,PHC Majgawan,,13,0089,22,503,,1,0,False
69,PHC Bahelia Bhat,PHC Bahelia Bhat,,13,0089,22,504,,1,0,False
70,PHC Sannahi,PHC Sannahi,,13,0089,22,505,,1,0,False
71,PHC Jhinna,PHC Jhinna,,13,0089,22,506,,1,0,False
72,CHC Amarpatan,CHC Amarpatan,,13,0089,22,507,0,2,0,False
73,CHC Mukundpur,CHC Mukundpur,,13,0089,22,508,0,2,0,False
74,PHC Payari,PHC Payari,,49,0314,12,508,,1,0,False
75,PHC Ghunawara,PHC Ghunawara,,13,0091,23,501,,1,0,False
76,PHC Sabhaganj,PHC Sabhaganj,,13,0091,23,502,,1,0,False
77,PHC Badera,PHC Badera,,13,0091,23,503,,1,0,False
78,CHC Amdara,CHC Amdara,,13,0091,23,504,0,2,0,False
80,PHC Karigohi,PHC Karigohi,,13,0083,24,501,,1,0,False
82,PHC Barondha,PHC Barondha,,13,0083,24,502,,1,0,False
86,PHC Nayagaon (Chitrakut),PHC Nayagaon (Chitrakut),,13,0083,24,503,,1,0,False
88,CHC Majhgawan,CHC Majhgawan,,13,0083,24,504,0,2,0,False
89,PHC Rod,PHC Rod,,13,0085,25,501,,1,0,False
90,PHC Jaso,PHC Jaso,,13,0085,25,502,,1,0,False
91,PHC Aamkui,PHC Aamkui,,13,0085,25,503,,1,0,False
92,PHC Singhpur,PHC Singhpur,,13,0085,25,504,,1,0,False
93,PHC Usrar,PHC Usrar,,13,0085,25,505,,1,0,False
94,CHC Nagod,CHC Nagod,,13,0085,25,506,0,2,0,False
95,PHC Sohawal,PHC Sohawal,,13,0082,26,501,0,1,0,False
96,PHC Madhavgarh,PHC Madhavgarh,,13,0082,26,502,,1,0,False
97,PHC Dagdiha,PHC Dagdiha,,13,0082,26,503,,1,0,False
98,PHC Naina,PHC Naina,,13,0082,26,504,,1,0,False
99,PHC Kuaan,PHC Kuaan,,13,0082,26,505,,1,0,False
100,PHC Ghurdang,PHC Ghurdang,,13,0082,26,506,,1,0,False
102,PHC Regaon,PHC Regaon,,13,0082,26,507,,1,0,False
103,CHC KOTHI,CHC Kothi,,13,0082,26,508,0,2,0,False
104,PHC Badwar,PHC Badwar,,13,0090,27,501,,1,0,False
105,PHC Budabaur (Saria),PHC Budabaur (Saria),,13,0090,27,502,,1,0,False
106,PHC Maryadpur,PHC Maryadpur,,13,0090,27,503,,1,0,False
107,CHC Devrajnagar,CHC Devrajnagar,,13,0090,27,504,0,2,0,False
108,CHC Ramnagar,CHC Ramnagar,,13,0090,27,505,0,2,0,False
110,PHC Sajjanpur,PHC Sajjanpur,,13,0087,28,501,,1,0,False
112,PHC Selhana,PHC Selhana,,13,0087,28,502,,1,0,False
115,CHC Rampur Baghelan,CHC Rampur Baghelan,,13,0087,28,503,0,2,0,False
116,PHC Parasamania,PHC Parasamania,,13,0086,29,501,,1,0,False
117,PHC Babupur,PHC Babupur,,13,0086,29,502,,1,0,False
118,PHC Kulgarhi,PHC Kulgarhi,,13,0086,29,503,,1,0,False
119,CHC Uchehera,CHC Uchehera,,13,0086,29,504,0,2,0,False
123,PHC Aamkhoot,PHC Aamkhoot,,53,0334,36,503,,1,0,False
125,PHC Barjhar,PHC Barjhar,,53,0332,37,501,,1,0,False
126,PHC Jhiran,PHC Jhiran,,53,0332,37,502,,1,0,False
127,CHC Kalyanpura,CHC Kalyanpura,,52,0330,35,501,,1,0,False
128,PHC Madrani,PHC Madrani,,52,0329,39,501,,1,0,False
129,PHC Rambhapur,PHC Rambhapur,,52,0329,39,502,,1,0,False
130,PHC Bori,PHC Bori,,53,0333,40,501,,1,0,False
131,PHC Kanakakad,PHC Kanakakad,,53,0333,40,502,,1,0,False
132,PHC Kakanvani,PHC Kakanvani,,52,0327,41,501,,1,0,False
133,PHC Khawasa,PHC Khawasa,,52,0327,41,502,,1,0,False
138,PHC Pitol,PHC Pitol,,52,0330,35,502,,1,0,False
