VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
1,Jogendranathpur,Jogendranathpur,0001,1,379717
2,Bhubaneswarpur,Bhubaneswarpur,0001,1,379718
3,Chhatagaon,Chhatagaon,0001,1,379719
4,Ghuchapali,Ghuchapali,0001,1,379720
5,Kuturamal,Kuturamal,0001,1,379721
6,Mandiadhipa,Mandiadhipa,0001,1,379722
7,Hirapur,Hirapur,0001,1,379723
8,Chuhapali,Chuhapali,0001,1,379724
9,Kechhodadar,Kechhodadar,0001,1,379725
10,Frejarpur,Frejarpur,0001,1,379726
11,Chheliamal,Chheliamal,0001,1,379727
12,Sukhatal,Sukhatal,0001,1,379728
13,Temri,Temri,0001,1,379729
14,Dhandupali,Dhandupali,0001,1,379730
15,Sodha,Sodha,0001,1,379731
16,Khursapali,Khursapali,0001,1,379732
17,Jhengnadihi,Jhengnadihi,0001,1,379733
18,Nagdiha,Nagdiha,0001,1,379734
19,Kuapali,Kuapali,0001,1,379735
20,Mahulpali,Mahulpali,0001,1,379736
21,Palsada,Palsada,0001,1,379737
22,Goebahali,Goebahali,0001,1,379738
23,Khaira,Khaira,0001,1,379739
24,Bijadihi,Bijadihi,0001,1,379740
25,Dengalikendu,Dengalikendu,0001,1,379741
26,Gandpali,Gandpali,0001,1,379742
27,Khandsibanji,Khandsibanji,0001,1,379743
28,Haridatal,Haridatal,0001,1,379744
29,Kermelabahal,Kermelabahal,0001,1,379745
30,Bhagatpur,Bhagatpur,0001,1,379746
31,Borasambar,Borasambar,0001,1,379747
32,Malda,Malda,0001,1,379748
33,Banmal,Banmal,0001,1,379749
34,Sadanandapur,Sadanandapur,0001,1,379750
35,Rasmunda,Rasmunda,0001,1,379751
36,Bhengarajpur,Bhengarajpur,0001,1,379752
37,Majhipali,Majhipali,0001,1,379753
38,Lergaon,Lergaon,0001,1,379754
39,Pipalpali,Pipalpali,0001,1,379755
40,Jharmunda,Jharmunda,0001,1,379756
41,Ranjitpur,Ranjitpur,0001,1,379757
42,Khandijharan,Khandijharan,0001,1,379758
43,Maharanimeripur,Maharanimeripur,0001,1,379759
44,Salhepali,Salhepali,0001,1,379760
45,Georgegarh,Georgegarh,0001,1,379761
46,Durgapali,Durgapali,0001,1,379762
47,Dandapat,Dandapat,0001,1,379763
48,Paikamal,Paikamal,0001,1,379764
49,Nuagaon,Nuagaon,0001,1,379765
50,Kenabuda,Kenabuda,0001,1,379766
51,Karlamal,Karlamal,0001,1,379767
52,Koknara,Koknara,0001,1,379768
53,Dunguripali,Dunguripali,0001,1,379769
54,Buturakhamar,Buturakhamar,0001,1,379770
55,Katangpali,Katangpali,0001,1,379771
56,Mundhela,Mundhela,0001,1,379772
57,Brahmandihi,Brahmandihi,0001,1,379773
58,Paraskhandi,Paraskhandi,0001,1,379774
59,Jhitiki,Jhitiki,0001,1,379775
60,Kapilaspur,Kapilaspur,0001,1,379776
61,Pathrel,Pathrel,0001,1,379777
62,Khaliamunda,Khaliamunda,0001,1,379778
63,Dhenkimunda,Dhenkimunda,0001,1,379779
64,Bhutmunda,Bhutmunda,0001,1,379780
65,Dumerbahal,Dumerbahal,0001,1,379781
66,Nilathar,Nilathar,0001,1,379782
67,Kansada,Kansada,0001,1,379783
68,Gadgaon,Gadgaon,0001,1,379784
69,Barpali,Barpali,0001,1,379785
70,Muneikel,Muneikel,0001,1,379786
71,Manmathpali,Manmathpali,0001,1,379787
72,Pipalkhunta,Pipalkhunta,0001,1,379788
73,Mithapali,Mithapali,0001,1,379789
74,Goranda,Goranda,0001,1,379790
75,Manbhang,Manbhang,0001,1,379791
76,Bahabalmath,Bahabalmath,0001,1,379792
77,Kuradhiphasa,Kuradhiphasa,0001,1,379793
78,Laudmal,Laudmal,0001,1,379794
79,Purena,Purena,0001,1,379795
80,Patrapali,Patrapali,0001,1,379819
81,Motipali,Motipali,0001,1,379797
82,Marjadapali,Marjadapali,0001,1,379798
83,Badibahal,Badibahal,0001,1,379799
84,Bhuikhar (Bhuinkhar),Bhuikhar (Bhuinkhar),0001,1,379800
85,Brahmantal,Brahmantal,0001,1,379801
86,Kharamal,Kharamal,0001,1,379802
87,Bartunda,Bartunda,0001,1,379803
88,Bheruamunda,Bheruamunda,0001,1,379804
89,Jamseth,Jamseth,0001,1,379805
90,Cherangajhanj,Cherangajhanj,0001,1,379806
91,Kadoghucha,Kadoghucha,0001,1,379807
92,Mandosil,Mandosil,0001,1,379808
93,Dharol,Dharol,0001,1,379809
94,Malpada,Malpada,0001,1,379810
95,Chhindeikela,Chhindeikela,0001,1,379811
96,Makhanamunda,Makhanamunda,0001,1,379812
97,Baraparlia,Baraparlia,0001,1,379813
98,Ganjadabar,Ganjadabar,0001,1,379814
99,Jalgarh,Jalgarh,0001,1,379815
100,Jharbandha,Jharbandha,0001,1,379816
101,Menakamunda,Menakamunda,0001,1,379817
102,Temrimal,Temrimal,0001,1,379818
103,Patrapali,Patrapali,0001,1,379796
104,Dudukijharia,Dudukijharia,0001,1,379820
105,Badanki,Badanki,0002,1,379821
106,Sukamaripur,Sukamaripur,0002,1,379822
107,Kukuripali,Kukuripali,0002,1,379823
108,Jodhpur,Jodhpur,0002,1,379824
109,Ureidadar,Ureidadar,0002,1,379825
110,Dabpali,Dabpali,0002,1,379826
111,Kurlupali,Kurlupali,0002,1,379827
112,Beheraduburi,Beheraduburi,0002,1,379828
