TCode,Name_E,Name_G,BID
0274,Fategarh ,Fategarh ,1
0289,Balianta ,Balianta ,2
0289,Balianta ,Balianta ,2
0186,Jagatsinghapur P.S.,Jagatsinghapur P.S.,3
0471,Chitrakonda ,Chitrakonda ,6
0414,Junagarh (0414),Junagarh (0414),10
0313,Sadar (0313),Sadar (0313),8
0290,Balipatna ,Balipatna ,5
0203,Salepur (0203),Salepur (0203),14
0204,Nischintakoili  (0204),Nischintakoili  (0204),15
0201,Tangi (0201),Tangi (0201),16
0202,Mahanga (0202),Mahanga (0202),17
0196,Athagad  (0196),Athagad  (0196),18
0192,Badamba (0192),Badamba (0192),19
0471,Chitrakonda (0471),Chitrakonda (0471),23
0475,Kalimela (0475),Kalimela (0475),24
0476,Podia ,Podia ,25
0476,Podia (0476),Podia (0476),23
0477,M.V. 79 ,M.V. 79 ,23
0478,Motu ,Motu ,23
0040,Jujomura P.S.(0040),Jujomura P.S.(0040),29
0044,Naktideul P.S.(0044),Naktideul P.S.(0044),30
0028,Kochinda P.S.(0028),Kochinda P.S.(0028),31
0379,Puruna Katak (0379),Puruna Katak (0379),32
0376,Manamunda (0376),Manamunda (0376),33
0377,Baunsuni (0377),Baunsuni (0377),34
0378,Baudh Sadar ,Baudh Sadar ,34
0380,Harbhanga  ,Harbhanga  ,32
0375,Kantamal,Kantamal,33
0382,Rampur (0382),Rampur (0382),35
0386,Subalaya (0386),Subalaya (0386),36
0383,Binika (0383),Binika (0383),37
0387,Sonapur (0387),Sonapur (0387),38
0388,Tarbha (0388),Tarbha (0388),39
0384,Ulunda (0384),Ulunda (0384),40
0411,Biswanathpur (0411),Biswanathpur (0411),41
0416,Dharamgarh (0416),Dharamgarh (0416),42
0042,Charamal P.S.(0042),Charamal P.S.(0042),45
0043,Rairakhol P.S.(0043),Rairakhol P.S.(0043),46
0031,Rengali P.S. (New)(0031),Rengali P.S. (New)(0031),47
0045,Sambalpur (M) P.S.(0045),Sambalpur (M) P.S.(0045),48
0041,Dhama P.S.(0041),Dhama P.S.(0041),49
0026,Govindpur P.S.(0026),Govindpur P.S.(0026),50
0143,Baleshwar Sadar P.S.(P) (0143),Baleshwar Sadar P.S.(P) (0143),51
0139,Baliapal P.S. (0139),Baliapal P.S. (0139),52
0141,Basta P.S. (0141),Basta P.S. (0141),53
0137,Bhograi P.S.(0137),Bhograi P.S.(0137),55
0151,Oupada P.S. (0151),Oupada P.S. (0151),56
0152,Khaira P.S. (0152),Khaira P.S. (0152),57
0289,Balianta ,Balianta ,4
0296,Jatani (0296),Jatani (0296),59
0448,Boriguma (0448),Boriguma (0448),84
0300,Balugaon (0300),Balugaon (0300),83
0357,Ramagiri,Ramagiri,117
0211,Gobindpur ,Gobindpur ,86
0389,Loisinga (0389),Loisinga (0389),88
0214,Cuttack (M.Corp.) P.S(0214),Cuttack (M.Corp.) P.S(0214),89
0405,Boden (0405),Boden (0405),90
0199,Khuntuni (0199),Khuntuni (0199),91
0404,Khariar (0404),Khariar (0404),92
0349,Mohana(0349),Mohana(0349),93
0156,Agarpada P.S. (0156),Agarpada P.S. (0156),94
0348,Adva,Adva,93
0389,Loisinga (0389),Loisinga (0389),95
0195,Tigiria (0195),Tigiria (0195),96
0403,Komana (0403),Komana (0403),97
0194,Banki  (0194),Banki  (0194),99
0157,Bant P.S. (0157),Bant P.S. (0157),100
0401,Jonk(0401),Jonk(0401),101
0350,R.Udayagiri(0350),R.Udayagiri(0350),102
0391,Tushura (0391),Tushura (0391),103
0403,Komana ,Komana ,90
0191,Kanpur (0191),Kanpur (0191),104
0392,Patnagarh (0392),Patnagarh (0392),105
0166,Bansada P.S. (0166),Bansada P.S. (0166),106
0202,Mahanga (0202),Mahanga (0202),107
0391,Tushura (0391),Tushura (0391),108
0161,Basudebpur P.S. (0161),Basudebpur P.S. (0161),109
0160,Bhadrak Rural P.S. (0160),Bhadrak Rural P.S. (0160),110
0029,Katarbaga P.S.(0029),Katarbaga P.S.(0029),472
0029,Katarbaga P.S.(0029),Katarbaga P.S.(0029),467
0208,Cuttack Sadar (0208),Cuttack Sadar (0208),112
0390,Balangir (0390),Balangir (0390),113
0165,Chandabali P.S. (0165),Chandabali P.S. (0165),114
0192,Badamba (0192),Badamba (0192),115
0159,Dhamanagar P.S.(0159),Dhamanagar P.S.(0159),116
0351,Serango(0351),Serango(0351),117
0393,Khaprakhol (0393),Khaprakhol (0393),118
0213,Niali  (0213),Niali  (0213),119
0167,Dhamara Marine P.S.(New)(0167),Dhamara Marine P.S.(New)(0167),120
0355,Rayagada(0355),Rayagada(0355),121
0204,Nischintakoili  (0204),Nischintakoili  (0204),122
0164,Dhusuri P.S.(0164),Dhusuri P.S.(0164),123
0203,Salepur (0203),Salepur (0203),124
0162,Naikanidihi P.S. (0162),Naikanidihi P.S. (0162),126
0193,Baidyeswar(0193),Baidyeswar(0193),127
0245,Dhenkanal Sadar (0245),Dhenkanal Sadar (0245),128
0351,Serango(0351),Serango(0351),129
0163,Tihidi P.S.(0163),Tihidi P.S.(0163),130
0352,Kashinagar(0352),Kashinagar(0352),131
0234,Kamakshyanagar (0234),Kamakshyanagar (0234),132
0353,Parlakhemundi,Parlakhemundi,129
0471,Chitrakonda ,Chitrakonda ,7
0471,Chitrakonda ,Chitrakonda ,6
0312,Chandanpur (0312),Chandanpur (0312),8
0154,Similia P.S. (0154),Similia P.S. (0154),77
0264,Athmallik (0264),Athmallik (0264),12
0153,Soro P.S.(0153),Soro P.S.(0153),78
0197,Barang  (0197),Barang  (0197),12
0213,Niali  (0213),Niali  (0213),13
0190,Narasinghpur (0190),Narasinghpur (0190),20
0195,Tigiria (0195),Tigiria (0195),21
0194,Banki  (0194),Banki  (0194),22
0468,Malkangiri (0468),Malkangiri (0468),24
0325,ASIKA (0325),ASIKA (0325),25
0336,PURUSOTTAMPUR,PURUSOTTAMPUR,25
0332,CHHATRAPUR ,CHHATRAPUR ,25
0450,Dasamantapur (0450),Dasamantapur (0450),26
0348,Adva(0348),Adva(0348),27
0349,Mohana,Mohana,27
0338,PATAPUR ,PATAPUR ,260
0028,Kochinda P.S.(0028),Kochinda P.S.(0028),43
0040,Jujomura P.S.(0040),Jujomura P.S.(0040),44
0043,Rairakhol P.S.(0043),Rairakhol P.S.(0043),45
0142,Rupsa P.S. (0142),Rupsa P.S. (0142),79
0136,Jaleswar P.S. (0136),Jaleswar P.S. (0136),80
