PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
2,BALAKATI,Balakati CHC,,17,0289,4,501,0,2,1,False
25,FASIMAL,Fasimal UGPHC,,3,0038,461,501,0,2,0,False
26,NAIKENPALI,Naikenpali CHC,,23,0387,38,501,0,2,0,False
27,BIRMAHARAJPUR,Birmaharajpur CHC,,23,0385,36,501,0,2,0,False
28,SUBALAYA,Subalaya PHC(N),,23,0386,36,501,0,1,0,False
29,DUNGURIPALI,Dunguripali CHC,,23,0381,35,501,0,2,0,False
30,RAMPUR,Rampur PHC(N),,23,0382,35,501,0,1,0,False
31,BINKA,Binka CHC,,23,0383,37,501,0,2,0,False
32,TARVA,Tarva CHC,,23,0388,39,501,0,2,0,False
33,ULLUNDA,Ullunda CHC,,23,0384,40,501,0,2,0,False
35,BALIPATNA,Balipatna CHC,,17,0290,5,501,0,2,1,False
36,BANAPUR,Banapur CHC,,17,0301,58,501,0,2,0,False
37,JATANI,Jatani CHC,,17,0296,59,501,0,2,0,False
38,BOTALAMA,Botalama CHC,,17,0282,60,501,0,2,0,False
41,GARPOSH,Garposh,,3,0026,453,502,0,2,0,False
45,Laida,Laida CHC,,3,0031,458,501,0,100,0,False
47,BALUGAON,Balugaon CHC,,17,0300,83,501,0,2,0,False
48,BORIGUMA,CHC Boriguma,,29,0448,190,501,0,2,0,False
49,HARDALI,PHC(N) Hardali,,29,0448,190,502,0,1,0,False
50,DENGAPADAR,PHC(N) Dengapadar,,29,0448,190,503,0,1,0,False
51,B. SINGPUR,PHC(N) B.Singpur,,29,0448,190,504,0,1,0,False
52,KUMULI,PHC(N) Kumuli,,29,0448,190,505,0,1,0,False
53,KATHARAGADA,PHC(N) Katharagada,,29,0448,190,506,0,1,0,False
54,JUJHARI,Sector Jujhari,,29,0448,190,507,0,1,0,False
55,KOTPAD,CHC Kotpad,,29,0447,349,501,0,2,0,False
59,MURTHAHANDI,PHC(N) Murthahandi,,29,0447,349,502,0,1,0,False
