SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
38,Balakati MC,Balakati MC,2,0289,17,1,,0,0
40,Balianta,Balianta,2,0289,17,2,,0,0
41,Benupur,Benupur,2,0289,17,3,,0,0
42,Bainchua,Bainchua,2,0289,17,4,,0,0
43,Bhingarpur,Bhingarpur,2,0289,17,5,,0,0
44,Bisuniapada,Bisuniapada,2,0289,17,6,,0,0
45,Brahmansarangi,Brahmansarangi,2,0289,17,7,,0,0
46,Dhamilo,Dhamilo,2,0289,17,8,,0,0
47,Jagannathpur,Jagannathpur,2,0289,17,9,,0,0
48,Jasuapur,Jasuapur,2,0289,17,10,,0,0
49,Jhinti Sasan,Jhinti Sasan,2,0289,17,11,,0,0
50,Kakarudrapur,Kakarudrapur,2,0289,17,12,,0,0
51,Mahukhanda,Mahukhanda,2,0289,17,13,,0,0
52,Pahal,Pahal,2,0289,17,14,,0,0
53,Paribasudeipur,Paribasudeipur,2,0289,17,15,,0,0
54,Pratap Sasana,Pratap Sasana,2,0289,17,16,,0,0
55,Prataprudrapur,Prataprudrapur,2,0289,17,17,,0,0
56,Sarakana,Sarakana,2,0289,17,18,,0,0
57,Satyabhampur,Satyabhampur,2,0289,17,19,,0,0
58,Sisilo,Sisilo,2,0289,17,20,,0,0
60,Bamra,Bamra,41,0026,3,2,,0,0
66,Govindpur,Govindpur,41,0026,3,8,,0,0
67,Gurla,Gurla,41,0026,3,9,,0,0
71,Kechhupani,Kechhupani,41,0026,3,13,,0,0
74,Kutarimal,Kutarimal,41,0026,3,16,,0,0
81,Rangiatikira,Rangiatikira,41,0026,3,23,,0,0
84,Tangarmunda,Tangarmunda,41,0026,3,26,,0,0
86,Abhayamukhi,Abhayamukhi,35,0290,17,1,,0,0
87,Alisi,Alisi,35,0290,17,2,,0,0
88,Aloi,Aloi,35,0290,17,3,,0,0
89,Amana Kuda,Amana Kuda,35,0290,17,4,,0,0
90,Badal Sasan,Badal Sasan,35,0290,17,5,,0,0
91,Balikudapatna,Balikudapatna,35,0290,17,6,,0,0
92,Balipatna MC,Balipatna MC,35,0290,17,7,,0,0
93,Basantamala,Basantamala,35,0290,17,8,,0,0
94,Biswanathpur,Biswanathpur,35,0290,17,9,,0,0
95,Gada-Charipada,Gada-Charipada,35,0290,17,10,,0,0
