VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
1,15 S,15 S,0001,1,
2,14 S,14 S,0001,1,
3,13 S-B,13 S-B,0001,1,
4,13 S-A,13 S-A,0001,1,
5, 9 S-B, 9 S-B,0001,1,
6, 9 S-A, 9 S-A,0001,1,
7, 5 S-B, 5 S-B,0001,1,
8, 5 S-A, 5 S-A,0001,1,
9, 3 S, 3 S,0001,1,
10, 1 S, 1 S,0001,1,
11,10 H,10 H,0001,1,
12, 1 R, 1 R,0001,1,
13, 2 R, 2 R,0001,1,
14, 4 R, 4 R,0001,1,
15, 3 R, 3 R,0001,1,
16,12 H,12 H,0001,1,
17,11 H,11 H,0001,1,
18, 2 S, 2 S,0001,1,
19, 4 S, 4 S,0001,1,
20, 6 S, 6 S,0001,1,
21, 7 S, 7 S,0001,1,
22, 8 S, 8 S,0001,1,
23,10 S,10 S,0001,1,
24,11 S,11 S,0001,1,
25, 6 V, 6 V,0001,1,
26,12 S,12 S,0001,1,
27, 1 X, 1 X,0001,1,
28, 2 X, 2 X,0001,1,
29,17 S,17 S,0001,1,
30,16 S,16 S,0001,1,
31,36 H,36 H,0001,1,
32,34 H,34 H,0001,1,
33,33 H,33 H,0001,1,
34,28 H,28 H,0001,1,
35, 4 X, 4 X,0001,1,
36, 3 X, 3 X,0001,1,
37, 7 V, 7 V,0001,1,
38,26 H,26 H,0001,1,
39,24 H-B,24 H-B,0001,1,
40, 8 V, 8 V,0001,1,
41, 4 V, 4 V,0001,1,
42,24 H-A,24 H-A,0001,1,
43,21 H,21 H,0001,1,
44, 3 V, 3 V,0001,1,
45,20 H,20 H,0001,1,
46, 1 V I, 1 V I,0001,1,
47, 1 V II, 1 V II,0001,1,
48, 2 V II, 2 V II,0001,1,
49, 2 V I, 2 V I,0001,1,
50,18 H,18 H,0001,1,
51,16/17 H,16/17 H,0001,1,
52,13 H,13 H,0001,1,
53,14 H,14 H,0001,1,
54,15 H,15 H,0001,1,
55, 1 T, 1 T,0001,1,
56, 2 T, 2 T,0001,1,
57, 4 T, 4 T,0001,1,
58, 3 T, 3 T,0001,1,
59, 2 U, 2 U,0001,1,
60, 5 U (RURAL), 5 U (RURAL),0001,1,
