DCode,CenDistrict,Name_G,Name_E,StateID,MDDS_Code
1,01,Ganganagar ,Ganganagar ,8,99
2,02,Hanumangarh ,Hanumangarh ,8,100
3,03,Bikaner,Bikaner,8,101
4,04,Churu ,Churu ,8,102
5,05,Jhunjhunun,Jhunjhunun,8,103
6,06,Alwar,Alwar,8,104
7,07,Bharatpur ,Bharatpur ,8,105
8,08,Dhaulpur,Dhaulpur,8,106
9,09,Karauli ,Karauli ,8,107
10,10,Sawai Madhopur ,Sawai Madhopur ,8,108
11,11,Dausa ,Dausa ,8,109
12,12,Jaipur ,Jaipur ,8,110
13,13,Sikar,Sikar,8,111
14,14,Nagaur,Nagaur,8,112
15,15,Jodhpur,Jodhpur,8,113
16,16,Jaisalmer,Jaisalmer,8,114
17,17,Barmer ,Barmer ,8,115
18,18,Jalor,Jalor,8,116
19,19,Sirohi,Sirohi,8,117
20,20,Pali ,Pali ,8,118
21,21,Ajmer,Ajmer,8,119
22,22,Tonk ,Tonk ,8,120
23,23,Bundi ,Bundi ,8,121
24,24,Bhilwara,Bhilwara,8,122
25,25,Rajsamand,Rajsamand,8,123
27,27,Dungarpur ,Dungarpur ,8,124
28,28,Banswara ,Banswara ,8,125
29,29,Chittaurgarh ,Chittaurgarh ,8,126
30,30,Kota ,Kota ,8,127
31,31,Baran ,Baran ,8,128
32,32,Jhalawar,Jhalawar,8,129
33,33,Udaipur,Udaipur,8,130
34,34,Pratapgarh ,Pratapgarh ,8,131
