VCode,Name_E,Name_G,TCode,DCode,MDDS_Code
1,Kiranu,Kiranu,0002,1,40185
2,Duchanu,Duchanu,0002,1,40186
3,Jagta,Jagta,0002,1,40187
4,Chiwan,Chiwan,0002,1,40188
5,Thapali,Thapali,0002,1,40189
6,Monda,Monda,0002,1,40190
7,Balawate,Balawate,0002,1,40191
8,Adasu,Adasu,0002,1,40192
9,Dhara,Dhara,0002,1,40193
10,Barnali,Barnali,0002,1,40194
11,Gokul,Gokul,0002,1,40195
12,Jhotari,Jhotari,0002,1,40196
13,Dagoli,Dagoli,0002,1,40197
14,Makuri,Makuri,0002,1,40198
15,Arakot,Arakot,0002,1,40199
17,Damti Thunara,Damti Thunara,0002,1,40200
18,Kalich,Kalich,0002,1,40201
19,Maijyani,Maijyani,0002,1,40202
20,Bhutanu,Bhutanu,0002,1,40203
21,Gamri,Gamri,0002,1,40204
22,Kirauli,Kirauli,0002,1,40205
23,Pawali,Pawali,0002,1,40206
24,Wegal,Wegal,0002,1,40207
25,Kukrera,Kukrera,0002,1,40208
26,Bhakwar,Bhakwar,0002,1,40209
27,Dewti,Dewti,0002,1,40210
29,Thali,Thali,0002,1,40211
30,Wamsu,Wamsu,0002,1,40212
31,Odata,Odata,0002,1,40213
32,Saransh,Saransh,0002,1,40214
34,Petri,Petri,0002,1,40215
35,Sewa,Sewa,0002,1,40216
36,Gawalgaun,Gawalgaun,0002,1,40217
37,Masari,Masari,0002,1,40218
38,Khanna,Khanna,0002,1,40219
39,Wari,Wari,0002,1,40220
40,Halywari,Halywari,0002,1,40221
41,Doni,Doni,0002,1,40222
42,Satta,Satta,0002,1,40223
43,Bhitri,Bhitri,0002,1,40224
45,Dewal,Dewal,0002,1,40225
46,Pujeli,Pujeli,0002,1,40226
47,Khanyasani,Khanyasani,0002,1,40227
48,Kotgaon,Kotgaon,0002,1,40228
49,Sidri,Sidri,0002,1,40229
50,Sankari,Sankari,0002,1,40230
51,Saur,Saur,0002,1,40231
52,Sirga,Sirga,0002,1,40232
53,Panw Malla,Panw Malla,0002,1,40233
54,Panw Talla,Panw Talla,0002,1,40234
55,Saturi,Saturi,0002,1,40235
56,Sunkundi,Sunkundi,0002,1,40236
57,Jakhol,Jakhol,0002,1,40237
58,Sauni,Sauni,0002,1,40238
59,Dhara,Dhara,0002,1,40239
60,Fitari,Fitari,0002,1,40240
61,Regcha,Regcha,0002,1,40241
62,Kasla,Kasla,0002,1,40242
63,Rala,Rala,0002,1,40243
64,Liwari,Liwari,0002,1,40244
65,Gangar,Gangar,0002,1,40245
66,Dhatmeer,Dhatmeer,0002,1,40246
67,Pawani,Pawani,0002,1,40247
69,Osala,Osala,0002,1,40248
70,Mautar,Mautar,0002,1,40249
71,Salra,Salra,0002,1,40250
72,Wainol,Wainol,0002,1,40251
73,Nuranu,Nuranu,0002,1,40252
74,Kalap,Kalap,0002,1,40253
