PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
3,CHC Doiwala,CHC Doiwala,,5,0028,76,501,,2,0,False
7,Dugadda PHC,Dugadda PHC,,6,0036,92,501,,1,0,False
8,Jhandichaur APHC,Jhandichaur APHC,,6,0036,92,502,,1,0,False
9,Pokhal APHC,Pokhal APHC,,6,0036,92,503,,1,0,False
10,Yamkeshwar PHC,Yamkeshwar PHC,,6,0037,96,501,,1,0,False
11,Kimsar APHC,Kimsar APHC,,6,0037,96,502,,1,0,False
12,Dadamandi PHC,Dadamandi PHC,,6,0034,90,501,,1,0,False
13,Chailusain APHC,Chailusain APHC,,6,0034,90,502,,1,0,False
14,Satpuli APHC,Satpuli APHC,,6,0034,90,503,,1,0,False
15,Katghar APHC,Katghar APHC,,6,0034,90,504,,1,0,False
16,Patisain PHC,Patisain PHC,,6,0035,88,501,,1,0,False
17,Naugaonkhal APHC,Naugaonkhal APHC,,6,0035,88,502,,1,0,False
18,Jaiharikhal PHC,Jaiharikhal PHC,,6,0033,89,501,,1,0,False
19,Dudharkhal APHC,Dudharkhal APHC,,6,0033,89,502,,1,0,False
20,Ghandiyal CHC,Ghandiyal CHC,,6,0030,86,501,,2,0,False
21,Adwani APHC,Adwani APHC,,6,0030,86,502,,1,0,False
22,Khirsu PHC,Khirsu PHC,,6,0029,87,501,,1,0,False
23,Kot PHC,Kot PHC,,6,0030,84,503,,1,0,False
24,Pilkhi PHC,Pilkhi PHC,,4,0016,57,501,,1,0,False
25,Beleshwar CHC,Beleshwar CHC,,4,0016,57,502,,2,0,False
26,Ghuttu APHC,Ghuttu APHC,,4,0016,57,503,,1,0,False
27,Chamiyala APHC,Chamiyala APHC,,4,0016,57,504,,1,0,False
28,Hulanakhal APHC,Hulanakhal APHC,,4,0016,57,505,,1,0,False
29,Budakedar APHC,Budakedar APHC,,4,0016,57,506,,1,0,False
30,Bauradi DH,Bauradi DH,,4,0020,54,501,,1,0,False
31,Chamba PHC,Chamba PHC,,4,0020,54,502,,1,0,False
32,New Tehri APHC,New Tehri APHC,,4,0020,54,503,,1,0,False
33,Gaza APHC,Gaza APHC,,4,0020,54,504,,1,0,False
37,Nandgaon PHC,Nandgaon PHC,,4,0019,61,501,,1,0,False
38,Anjanisain APHC,Anjanisain APHC,,4,0019,61,502,,1,0,False
39,Dharkot APHC,Dharkot APHC,,4,0019,61,503,,1,0,False
40,Jakhnidhar APHC,Jakhnidhar APHC,,4,0019,61,504,,1,0,False
41,Madannegi APHC,Madannegi APHC,,4,0019,61,505,,1,0,False
42,Thatyur CHC,Thatyur CHC,,4,0021,58,501,0,2,0,False
43,Bhatwari,भटबाडी,,1,0006,72,501,,1,0,False
44,Chinyalsaur,चिन्‍यालीसौंड,,1,0005,101,501,,1,0,False
45,Dunda,डुण्‍डा,,1,0004,102,501,,1,0,False
46,Satyon APHC,Satyon APHC,,4,0021,58,502,,1,0,False
47,Nainbagh APHC,Nainbagh APHC,,4,0021,58,503,0,1,0,False
49,Mori,मोरी,,1,0002,103,501,,1,0,False
54,Naugaon,नौगांव,,1,0003,105,501,0,2,0,False
56,Ukhimath,Ukhimath,,3,0013,100,501,,1,0,False
57,Phata,Phata,,3,0013,100,502,,1,0,False
58,Lwani,Lwani,,3,0013,100,503,,1,0,False
59,Ghimtoli,Ghimtoli,,3,0014,100,501,,1,0,False
60,Chopra,Chopra,,3,0014,100,502,,1,0,False
61,Kherakhal,Kherakhal,,3,0014,98,503,,1,0,False
