SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000000,Do not delete it,Do not delete it,0006,1,0,
10000001,Timra,Timra,0023,5,4630,
10000002,test,test,0053,9,13066,
10000003,Simkhola,Simkhola,0039,7,9001,49095
10000004,kurila,Kurila,0039,7,9010,49104
10000005,Samri,Samri,0039,7,9010,49104
10000006,Bangwa,Bangwa,0039,7,9010,49104
10000007,Jaykote,jaykote,0039,7,9009,49103
10000008,Gasku,Gasku,0039,7,9009,49103
10000009,Pasti,Pasti,0039,7,9011,49105
10000010,Fultari,Fultari,0039,7,8989,49084
10000011,Dhura,Dhura,0039,7,8989,49084
10000012,Jimtar,Jimtar,0039,7,8989,49084
10000013,Yangsu,yangsu,0039,7,8980,49077
10000014,Ghatibagar,Ghatibagar,0039,7,8980,49077
10000015,Avaldang,Avaldang,0039,7,9023,49115
10000016,Sumdum,Sumdum,0039,7,9023,49115
10000017,Dhura,Dhura,0039,7,9032,49123
10000018,tawaghat,tawaghat,0039,7,9032,49123
10000019,rapli,rapli,0039,7,9032,49123
10000020,Chaitkala,Chaitkala,0039,7,9032,49123
10000021,Khatpoli,Khatpoli,0039,7,9042,49132
10000022,Nag,Nag,0039,7,9042,49132
10000023,Rauda,Rauda,0039,7,9042,49132
10000024,palpala,palpala,0039,7,9042,49132
10000025,Paniyar,Paniyar,0039,7,9042,49132
10000026,Ekla,Ekla,0039,7,9042,49132
10000027,Gasila,Gasila,0039,7,9042,49132
10000028,Rudila,Rudila,0039,7,9042,49132
10000029,Devrukh,Devrukh,0039,7,9042,49132
10000030,Dhami Gaon,Dhami Gaon,0039,7,9042,49132
10000031,Karki gaon,Karki gaon,0039,7,9042,49132
10000032,Tanthar,Tanthar,0039,7,16862,49133
10000033,Khotila,Khotila,0039,7,16862,49133
10000034,Bora Gaon,Bora Gaon,0039,7,16862,49133
10000035,Danidhar,Danidhar,0039,7,16862,49133
10000036,Khouri,Khouri,0039,7,16862,49133
10000037,Gadal,Gadal,0039,7,9045,49136
10000038,Chana,Chana,0039,7,9045,49136
10000039,Thalpiya,Thalpiya,0039,7,9045,49136
10000040,Dhamigaon,Dhamigaon,0039,7,9045,49136
10000041,Bajani,Bajani,0039,7,9047,49138
10000042,Pokhri,Pokhri,0039,7,9049,49140
10000043,kanda,kanda,0039,7,9049,49140
10000044,Lekh,Lekh,0039,7,9049,49140
10000045,Guiyan,Guiyan,0039,7,9049,49140
10000046,Imkhola,Imkhola,0039,7,9050,49141
10000047,Gatkuna,Gatkuna,0039,7,9050,49141
10000048,Binyagaon,Binyagaon,0039,7,9052,49142
10000049,Toli,Toli,0039,7,9052,49142
10000050,Jauljivi,Jauljivi,0039,7,9055,49145
10000051,Dantu,Dantu,0039,7,9055,49145
10000052,Vijyasar,Vijyasar,0039,7,9055,49145
10000053,Balmara,Balmara,0039,7,9041,49131
10000054,garjiya,garjiya,0039,7,9041,49131
10000055,Gogoi,Gogoi,0039,7,9040,49130
10000056,Chami,Chami,0039,7,9037,49128
10000057,Choribagar,Choribagar,0039,7,9034,49125
10000058,banni,banni,0039,7,9035,49126
10000059,Bhanara,Bhanara,0040,7,9437,49234
10000060,JUSHIYA KANDA,JUSHIYA KANDA,0040,7,9436,49233
10000061,FATORI,FATORI,0040,7,9485,49281
10000062,DALORI,DALORI,0040,7,9454,49251
10000063,CHOBATI,CHOBATI,0040,7,9454,49251
10000064,BAKOTA,BAKOTA,0040,7,9444,49241
10000065,BARSAYAT,BARSAYAT,0040,7,9370,49170
10000066,DUNGARIGARA,DUNGARIGARA,0040,7,9373,49173
10000067,Daaphila,Daaphila,0040,7,9387,49187
10000068,Bhayun,Bhayun,0045,8,300214,
10000069,Burgarh,Burgarh,0046,8,10858,50907
10000070,Kunwarkhet,Kunwarkhet,0046,8,10858,50907
10000071,Chamroli,Chamroli,0027,5,0,
10000072,Naya Gaon,Naya Gaon,0028,5,0,
10000073,Hansuwala,Hansuwala,0028,5,5236,45335
10000074,Chandmari,Chandmari,0028,5,5236,45335
10000075,Mill Calony,Mill Calony,0028,5,5236,45335
10000076,Deshwala,Deshwala,0028,5,5236,45335
10000077,Prem Nagar,Prem Nagar,0028,5,5236,45335
10000078,Keshavpuri,Keshavpuri,0028,5,5236,45335
10000079,Khatta Doiwala,Khatta Doiwala,0028,5,5236,45335
10000080,Shergarh,Shergarh,0028,5,5236,45335
10000081,Laltappar,Laltappar,0028,5,5236,45335
10000082,Jeetu Calony,Jeetu Calony,0028,5,5236,45335
10000083,Balkumari,Balkumari,0028,5,5236,45335
10000084,Chandi,Chandi,0028,5,5236,45335
10000085,Jakhan Mohalla,Jakhan Mohalla,0028,5,5236,45335
10000086,Jogiyana,Jogiyana,0028,5,5236,45335
10000087,Kulna,Kulna,0028,5,5236,45335
10000088,Boradi,Boradi,0028,5,5236,45335
10000089,Balsi,Balsi,0028,5,5236,45335
10000090,Tarli Jolly,Tarli Jolly,0028,5,5236,45335
10000091,Kandarwala,Kandarwala,0028,5,5236,45335
10000092,Arya Nagar,Arya Nagar,0028,5,5236,45335
10000093,Nunnawala,Nunnawala,0028,5,5236,45335
10000094,Sankari,Sankari,0028,5,5236,45335
10000095,Pal Basti,Pal Basti,0028,5,5236,45335
10000096,Apar Jolly,Apar Jolly,0028,5,5236,45335
10000097,Kothari Mohalla,Kothari Mohalla,0028,5,5236,45335
10000098,Sunaar gaon,Sunaar gaon,0028,5,5236,45335
10000099,Kandal,Kandal,0028,5,5236,45335
10000100,Sapera Basti,Sapera Basti,0028,5,5236,45335
10000101,Balawala,Balawala,0028,5,5236,45335
10000102,Nathuwawala,Nathuwawala,0028,5,5236,45335
10000103,Banngkhala,Banngkhala,0028,5,5236,45335
10000104,Shamshergarh,Shamshergarh,0028,5,5236,45335
10000105,Pratit Nagar,Pratit Nagar,0028,5,5236,45335
10000106,Pratit Nagar Dandi,Pratit Nagar Dandi,0028,5,5236,45335
10000107,Vadik Nagar,Vadik Nagar,0028,5,5236,45335
10000108,Haripurkalan,Haripurkalan,0028,5,5236,45335
10000109,Khand,Khand,0028,5,5236,45335
10000110,Himalyan Calony,Himalyan Calony,0028,5,5236,45335
10000111,Chhiderwala,Chhiderwala,0028,5,5236,45335
10000112,Asha plot,Asha plot,0028,5,5236,45335
10000113,Nawabwala,Nawabwala,0028,5,5236,45335
10000114,Chhiderwala,Chhiderwala,0028,5,5236,45335
10000115,Garhi,Garhi,0028,5,5236,45335
10000116,Chandi Palntation,Chandi Palntation,0028,5,5236,45335
10000117,Lakkadghat,Lakkadghat,0028,5,5236,45335
10000118,Bapugram,Bapugram,0028,5,5236,45335
10000119,Shivaji Nagar,Shivaji Nagar,0028,5,5236,45335
10000120,Geeta Nagar,Geeta Nagar,0028,5,5236,45335
10000121,Indra Nagar,Indra Nagar,0028,5,5236,45335
10000122,Beesbigha,Beesbigha,0028,5,5236,45335
10000123,Meera Nagar,Meera Nagar,0028,5,5236,45335
10000124,Suman Vihar,Suman Vihar,0028,5,5236,45335
10000125,Vairaj,Vairaj,0028,5,5236,45335
10000126,Pashulok,Pashulok,0028,5,5236,45335
10000127,Nehragram,Nehragram,0028,5,5236,45335
10000128,Tehri Visthapit,Tehri Visthapit,0028,5,5236,45335
10000129,Labour Calony,Labour Calony,0028,5,5236,45335
10000130,Haridham,Haridham,0028,5,5236,45335
10000131,Gulrani,Gulrani,0028,5,5236,45335
10000132,Plantation,Plantation,0028,5,5236,45335
10000133,Gumaniwala,Gumaniwala,0028,5,5236,45335
10000134,Mansadevi,Mansadevi,0028,5,5236,45335
10000135,Dudupani,Dudupani,0028,5,5236,45335
10000136,Amitgram,Amitgram,0028,5,5236,45335
10000137,Malviya Nagar,Malviya Nagar,0028,5,5236,45335
10000138,Tulsi Vihar,Tulsi Vihar,0028,5,5236,45335
10000139,Retawala,Retawala,0028,5,5236,45335
10000140,Madhowala,Madhowala,0028,5,5236,45335
10000141,Chandmari,Chandmari,0028,5,5236,45335
10000142,Rajeev Nagar,Rajeev Nagar,0028,5,5236,45335
10000143,Bullawala,Bullawala,0028,5,5236,45335
10000144,Jhabbrawala,Jhabbrawala,0028,5,5236,45335
10000145,Kudkawala,Kudkawala,0028,5,5236,45335
10000146,Teliwala,Teliwala,0028,5,5236,45335
10000147,Dudhli,Dudhli,0028,5,5236,45335
10000148,Nyamwala,Nyamwala,0028,5,5236,45335
10000149,Radnad Darubasi,Radnad Darubasi,0028,5,5236,45335
10000150,Khatta,Khatta,0028,5,5236,45335
10000151,Chhadmiwala,Chhadmiwala,0028,5,5236,45335
10000152,Dharamuchak,Dharamuchak,0028,5,5236,45335
10000153,Bajawala,Bajawala,0028,5,5236,45335
10000154,Kotly,Kotly,0027,5,5110,45215
10000155,Gopal,Gopal,0027,5,5110,45215
10000156,Kaplani,Kaplani,0027,5,5110,45215
10000157,Paniyala,Paniyala,0027,5,5110,45215
10000158,Donk,Donk,0027,5,5110,45215
10000159,Loharigarh,Loharigarh,0027,5,5110,45215
10000160,Dada Kiyara,Dada Kiyara,0027,5,5110,45215
10000161,Viniyal,Viniyal,0027,5,5110,45215
10000162,Samoli,Samoli,0027,5,5110,45215
10000163,Joliyo,Joliyo,0027,5,5110,45215
10000164,Bijoli,Bijoli,0027,5,5110,45215
10000165,Chuna Bhatta,Chuna Bhatta,0027,5,5110,45215
10000166,Hilaswali,Hilaswali,0027,5,5110,45215
10000167,Sapera basti,Sapera basti,0027,5,5110,45215
10000168,Shastradhara,Shastradhara,0027,5,5110,45215
10000169,Danda Dhoran,Danda Dhoran,0027,5,5110,45215
10000170,Khuranwa,Khuranwa,0027,5,5110,45215
10000171,Bhrampuri,Bhrampuri,0027,5,5110,45215
10000172,Sirwalgarh,Sirwalgarh,0027,5,5110,45215
10000173,Jamunakhal,Jamunakhal,0027,5,5110,45215
10000174,Nuni,Nuni,0027,5,5110,45215
10000175,Sodatapper,Sodatapper,0027,5,5110,45215
10000176,Uppersoda,Uppersoda,0027,5,5110,45215
10000177,Ranjhawala,Ranjhawala,0027,5,5110,45215
10000178,Khadder,Khadder,0027,5,5110,45215
10000179,Kesarwala,Kesarwala,0027,5,5110,45215
10000180,Oli ka Khala,Oli ka Khala,0027,5,5110,45215
10000181,Kali Mandir,Kali Mandir,0027,5,5110,45215
10000182,Kidduwala,Kidduwala,0027,5,5110,45215
10000183,Saraswati Vihar,Saraswati Vihar,0027,5,5110,45215
10000184,Mata Mandir,Mata Mandir,0027,5,5110,45215
10000185,Deep Nagar,Deep Nagar,0027,5,5110,45215
10000186,Kargi,Kargi,0027,5,5110,45215
10000187,Dehrakhas,Dehrakhas,0027,5,5110,45215
10000188,Tea State,Tea State,0027,5,5110,45215
10000189,Husain Nagar,Husain Nagar,0027,5,5110,45215
10000190,Ramgarh,Ramgarh,0027,5,5110,45215
10000191,THDC Colony,THDC Colony,0027,5,5110,45215
10000192,Noka,Noka,0027,5,5110,45215
10000193,Rajiv Nagar,Rajiv Nagar,0027,5,5110,45215
10000194,Shastri Nagar,Shastri Nagar,0027,5,5110,45215
10000195,Chakshaha Nagar,Chakshaha Nagar,0027,5,5110,45215
10000196,Nehrugram,Nehrugram,0027,5,5110,45215
10000197,Nathanpur,Nathanpur,0027,5,5110,45215
10000198,Talai,Talai,0027,5,5110,45215
10000199,Jhabrani,Jhabrani,0027,5,5110,45215
10000200,Gartangoli,Gartangoli,0027,5,5110,45215
10000201,Simal Sani,Simal Sani,0027,5,5110,45215
10000202,Fani,Fani,0027,5,5110,45215
10000203,Dujiyawala,Dujiyawala,0027,5,5110,45215
10000204,Jheelwala,Jheelwala,0027,5,5110,45215
10000205,Donali,Donali,0027,5,5110,45215
10000206,Ghammuwala,Ghammuwala,0027,5,5110,45215
10000207,Nagaghar,Nagaghar,0027,5,5110,45215
10000208,Rainapurgrant,Rainapurgrant,0027,5,5110,45215
10000209,Sanik Basti,Sanik Basti,0027,5,5110,45215
10000210,Listerpur,Listerpur,0027,5,5110,45215
10000211,Tailpura,Tailpura,0027,5,5110,45215
10000212,Bhattnagar,Bhattnagar,0027,5,5110,45215
10000213,Shantinagar,Shantinagar,0027,5,5110,45215
10000214,Ranipokhri Moza,Ranipokhri Moza,0027,5,5110,45215
10000215,Duriali,Duriali,0027,5,5110,45215
10000216,Itharna,Itharna,0027,5,5110,45215
10000217,Kalwan,Kalwan,0027,5,5110,45215
10000218,Kalimata,Kalimata,0027,5,5110,45215
10000219,Bameth,Bameth,0027,5,5110,45215
10000220,Oroowala,Oroowala,0027,5,5110,45215
10000221,Manki,Manki,0027,5,5110,45215
10000222,Ghirani,Ghirani,0027,5,5110,45215
10000223,Basantpur,Basantpur,0027,5,5110,45215
10000224,Simalta,Simalta,0027,5,5110,45215
10000225,Gikoti,Gikoti,0027,5,5110,45215
10000226,Gaon,Gaon,0027,5,5110,45215
10000227,Fagsi,Fagsi,0027,5,5110,45215
10000228,Mehunwala,Mehunwala,0027,5,5110,45215
10000229,Tuntowala,Tuntowala,0027,5,5110,45215
10000230,Nayagaon,Nayagaon,0027,5,5110,45215
10000231,Kanwali,Kanwali,0027,5,5110,45215
10000232,Bharuwala,Bharuwala,0027,5,5110,45215
10000233,Stoowali,Stoowali,0027,5,5110,45215
10000234,Shastrinagar,Shastrinagar,0027,5,5110,45215
10000235,Ghandigram,Ghandigram,0027,5,5110,45215
10000236,Champuri,Champuri,0027,5,5110,45215
10000237,Lohiya Nagar,Lohiya Nagar,0027,5,5110,45215
10000238,Purkul,Purkul,0027,5,5096,45204
10000239,Bitharli,Bitharli,0027,5,5096,45204
10000240,Bhatta,Bhatta,0027,5,5096,45204
10000241,Anarwala,Anarwala,0027,5,5096,45204
10000242,Nayabasti,Nayabasti,0027,5,5096,45204
10000243,Ghati Khala,Ghati Khala,0027,5,5096,45204
10000244,Indranagar,Indranagar,0027,5,5096,45204
10000245,Galzwadi,Galzwadi,0027,5,5096,45204
10000246,Masandrawala,Masandrawala,0027,5,5096,45204
10000247,Nimbuwala,Nimbuwala,0027,5,5096,45204
10000248,Prempur Mafi,Prempur Mafi,0027,5,5096,45204
10000249,Kaulagarh,Kaulagarh,0027,5,5096,45204
10000250,Nagnath,Nagnath,0027,5,5096,45204
10000251,Chandmari,Chandmari,0027,5,5096,45204
10000252,Dhariyawala,Dhariyawala,0027,5,5096,45204
10000253,Fulshari,Fulshari,0027,5,5096,45204
10000254,Kandakali Upper,Kandakali Upper,0027,5,5096,45204
10000255,Kandakali Lower,Kandakali Lower,0027,5,5096,45204
10000256,Retiwala,Retiwala,0027,5,5096,45204
10000257,Bahuwala,Bahuwala,0027,5,5096,45204
10000258,Baghwanpur,Baghwanpur,0027,5,5096,45204
10000259,Khedri gaon,Khedri gaon,0027,5,5096,45204
10000260,Dunga,Dunga,0027,5,5096,45204
10000261,Thangaon,Thangaon,0027,5,5096,45204
10000262,Bigamali,Bigamali,0027,5,5096,45204
10000263,Nayagaon,Nayagaon,0027,5,5096,45204
10000264,Bhudpur,Bhudpur,0027,5,5096,45204
10000265,Ratanpur,Ratanpur,0027,5,5096,45204
10000266,Ganeshpur,Ganeshpur,0027,5,5096,45204
10000267,Landi Mohotala,Landi Mohotala,0027,5,5096,45204
10000268,Alkapuri Malahan,Alkapuri Malahan,0027,5,5096,45204
10000269,Chakmasha,Chakmasha,0027,5,5096,45204
10000270,Patiowala,Patiowala,0027,5,5096,45204
10000271,Dharawali,Dharawali,0027,5,5096,45204
10000272,Amarbharti,Amarbharti,0027,5,5096,45204
10000273,Cheruyala,Cheruyala,0027,5,5096,45204
10000274,Telpur,Telpur,0027,5,5096,45204
10000275,Gorakhpur,Gorakhpur,0027,5,5096,45204
10000276,Sewli,Sewli,0027,5,5096,45204
10000277,Shyampur,Shyampur,0027,5,5096,45204
10000278,Tea State,Tea State,0027,5,5096,45204
10000279,Parwal,Parwal,0027,5,5096,45204
10000280,Shaklapur,Shaklapur,0027,5,5096,45204
10000281,Smith Nagar,Smith Nagar,0027,5,5096,45204
10000282,Usmanpur,Usmanpur,0027,5,5096,45204
10000283,Redapur,Redapur,0027,5,5096,45204
10000284,Dhaki,Dhaki,0027,5,5096,45204
10000285,Sodha Road,Sodha Road,0027,5,5096,45204
10000286,Chanchak,Chanchak,0027,5,5096,45204
10000287,Kainchiwala,Kainchiwala,0027,5,5096,45204
10000288,Jolo,Jolo,0027,5,5096,45204
10000289,Shankarpur,Shankarpur,0027,5,5096,45204
10000290,Selaqui,Selaqui,0027,5,5096,45204
10000291,Kheri Basti,Kheri Basti,0027,5,5096,45204
10000292,Telpura,Telpura,0027,5,5096,45204
10000293,Vaya Kala,Vaya Kala,0027,5,5096,45204
10000294,Pharma City,Pharma City,0027,5,5096,45204
10000295,Shivnagar,Shivnagar,0027,5,5096,45204
10000296,Selaqui P.O.,Selaqui P.O.,0027,5,5096,45204
10000297,Barad,Barad,0025,5,4784,
10000298,Malog,Malog,0025,5,4784,
10000299,Chibau,Chibau,0025,5,4784,
10000300,Pabua,Pabua,0025,5,4784,
10000301,Chamari,Chamari,0025,5,4784,
10000302,Gadetha,Gadetha,0025,5,4784,
10000303,Salga,Salga,0025,5,4784,
10000304,Binau,Binau,0025,5,4784,
10000305,Paniyasa,Paniyasa,0025,5,4784,
10000306,Nagthat,Nagthat,0025,5,4784,
10000307,Bisoee,Bisoee,0025,5,4784,
10000308,Sainj,Sainj,0025,5,4784,
10000309,Kahdar,Kahdar,0025,5,4784,
10000310,Baida,Baida,0025,5,4784,
10000311,Goi,Goi,0025,5,4784,
10000312,Bharaya,Bharaya,0025,5,4784,
10000313,Badoda,Badoda,0025,5,4784,
10000314,Baghi,Baghi,0025,5,4784,
10000315,Tikri,Tikri,0025,5,4784,
10000316,Tilhara,Tilhara,0025,5,4784,
10000317,Kafani,Kafani,0025,5,4784,
10000318,Mundwan,Mundwan,0025,5,4784,
10000319,Kandi,Kandi,0025,5,4784,
10000320,Koti Gaon,Koti Gaon,0025,5,4784,
10000321,Tuniya,Tuniya,0025,5,4784,
10000322,Pothi,Pothi,0025,5,4784,
10000323,Timra,Timra,0023,5,4663,
10000324,Pate,Pate,0023,5,4663,
10000325,Bandra,Bandra,0023,5,4663,
10000326,Bisdhar,Bisdhar,0023,5,4663,
10000327,Himai,Himai,0023,5,4663,
10000328,Vinsan,Vinsan,0023,5,4663,
10000329,Sambar,Sambar,0023,5,4663,
10000330,Raamtunga,Raamtunga,0023,5,4663,
10000331,Bhayona,Bhayona,0023,5,4663,
10000332,Manva,Manva,0023,5,4663,
10000333,Chancliyara,Chancliyara,0023,5,4663,
10000334,Mava,Mava,0023,5,4663,
10000335,Birpa,Birpa,0023,5,4663,
10000336,Gamri,Gamri,0023,5,4663,
10000337,Gharta,Gharta,0023,5,4663,
10000338,Gagyo,Gagyo,0023,5,4663,
10000339,Tavra,Tavra,0023,5,4663,
10000340,Surna,Surna,0023,5,4663,
10000341,Kabau,Kabau,0023,5,4663,
10000342,Kolha,Kolha,0023,5,4663,
10000343,Dakra,Dakra,0023,5,4663,
10000344,Santoli,Santoli,0023,5,4663,
10000345,Kani,Kani,0023,5,4663,
10000346,Gothaar,Gothaar,0023,5,4663,
10000347,Panua,Panua,0023,5,4663,
10000348,Kharora (Kutar),Kharora (Kutar),0023,5,4663,
10000349,Dungre,Dungre,0023,5,4663,
10000350,Amrad-Zabrad,Amrad-Zabrad,0023,5,4663,
10000351,Khannar,Khannar,0023,5,4663,
10000352,Sumoog,Sumoog,0023,5,4663,
10000353,Manjh Gaon,Manjh Gaon,0023,5,4663,
10000354,Kurad,Kurad,0023,5,4663,
10000355,Savra,Savra,0023,5,4663,
10000356,Ollie,Ollie,0023,5,4663,
10000357,Shichar,Shichar,0023,5,4663,
10000358,Mindal,Mindal,0023,5,4663,
10000359,Bagar,Bagar,0023,5,4663,
10000360,Gabala,Gabala,0023,5,4663,
10000361,Kelata,Kelata,0023,5,4663,
10000362,Dogha,Dogha,0023,5,4663,
10000363,Chidka,Chidka,0023,5,4663,
10000364,Dadua,Dadua,0023,5,4663,
10000365,Matiyana,Matiyana,0023,5,4663,
10000366,Haja,Haja,0023,5,4663,
10000367,D D Khasa,D D Khasa,0023,5,4663,
10000368,Gohna,Gohna,0023,5,4663,
10000369,Aasoi,Aasoi,0023,5,4663,
10000370,Jugthan,Jugthan,0023,5,4663,
10000371,Vdava,Vdava,0023,5,4663,
10000372,Burasla,Burasla,0023,5,4663,
10000373,Vayla,Vayla,0023,5,4663,
10000374,Bhthad,Bhthad,0023,5,4663,
10000375,Shera,Shera,0023,5,4663,
10000376,Pankath,Pankath,0023,5,4663,
10000377,Gatrota,Gatrota,0023,5,4663,
10000378,Raj Koti,Raj Koti,0023,5,4663,
10000379,Cirba,Cirba,0023,5,4663,
10000380,Tugroti,Tugroti,0023,5,4663,
10000381,Tyuni Ram,Tyuni Ram,0024,5,4558,44767
10000382,Tyuni Gate,Tyuni Gate,0024,5,4558,44767
10000383,Tyuni,Tyuni,0024,5,4558,44767
10000384,Sanj,Sanj,0024,5,4558,44767
10000385,Jaglat,Jaglat,0024,5,4558,44767
10000386,Tyuni PWD,Tyuni PWD,0024,5,4558,44767
10000387,Tyuni Bazar,Tyuni Bazar,0024,5,4558,44767
10000388,Chandani,Chandani,0024,5,4558,44767
10000389,Gunda Gaon,Gunda Gaon,0024,5,4558,44767
10000390,Mahenderrath,Mahenderrath,0024,5,4558,44767
10000391,Kushna,Kushna,0024,5,4558,44767
10000392,Kairar,Kairar,0024,5,4558,44767
10000393,Nemra,Nemra,0024,5,4558,44767
10000394,Nyle,Nyle,0024,5,4558,44767
10000395,Patala,Patala,0024,5,4558,44767
10000396,Jasta,Jasta,0024,5,4558,44767
10000397,Dorri,Dorri,0024,5,4558,44767
10000398,Kanthag,Kanthag,0024,5,4558,44767
10000399,Kulah,Kulah,0024,5,4558,44767
10000400,Garnich,Garnich,0024,5,4558,44767
10000401,Libich,Libich,0024,5,4558,44767
10000402,Bastil,Bastil,0024,5,4558,44767
10000403,Hatsu,Hatsu,0024,5,4558,44767
10000404,Hale,Hale,0024,5,4558,44767
10000405,Varsala,Varsala,0024,5,4558,44767
10000406,Palasu,Palasu,0024,5,4558,44767
