DCode,CenDistrict,Name_G,Name_E,StateID,MDDS_Code
1,01,Saharanpur,Saharanpur,9,132
2,02,Muzaffarnagar,Muzaffarnagar,9,133
3,03,Bijnor,Bijnor,9,134
4,04,Moradabad,Moradabad,9,135
5,05,Rampur,Rampur,9,136
6,06,Jyotiba Phule Nagar,Jyotiba Phule Nagar,9,137
7,07,Meerut,Meerut,9,138
8,08,Baghpat,Baghpat,9,139
9,09,Ghaziabad,Ghaziabad,9,140
10,10,Gautam Buddha Nagar,Gautam Buddha Nagar,9,141
11,11,Bulandshahar ,Bulandshahar ,9,142
12,12,Aligarh,Aligarh,9,143
13,13,Mahamaya Nagar,Mahamaya Nagar,9,144
14,14,Mathura,Mathura,9,145
15,15,Agra,Agra,9,146
16,16,Firozabad,Firozabad,9,147
18,18,Mainpuri,Mainpuri,9,148
19,19,Budaun,Budaun,9,149
20,20,Bareilly,Bareilly,9,150
21,21,Pilibhit,Pilibhit,9,151
22,22,Shahjahanpur,Shahjahanpur,9,152
23,23,Kheri,Kheri,9,153
24,24,Sitapur,Sitapur,9,154
25,25,Hardoi,Hardoi,9,155
26,26,Unnao,Unnao,9,156
27,27,Lucknow,Lucknow,9,157
28,28,Rae Bareli,Rae Bareli,9,158
29,29,Farrukhabad,Farrukhabad,9,159
30,30,Kannauj,Kannauj,9,160
31,31,Etawah,Etawah,9,161
32,32,Auraiya,Auraiya,9,162
33,33,Kanpur Dehat,Kanpur Dehat,9,163
34,34,Kanpur Nagar,Kanpur Nagar,9,164
35,35,Jalaun ,Jalaun ,9,165
36,36,Jhansi,Jhansi,9,166
37,37,Lalitpur,Lalitpur,9,167
38,38,Hamirpur,Hamirpur,9,168
39,39,Mahoba,Mahoba,9,169
40,40,Banda,Banda,9,170
41,41,Chitrakoot,Chitrakoot,9,171
42,42,Fatehpur,Fatehpur,9,172
43,43,Pratapgarh,Pratapgarh,9,173
44,44,Kaushambi,Kaushambi,9,174
45,45,Allahabad ,Allahabad ,9,175
46,46,Barabanki,Barabanki,9,176
47,47,Faizabad,Faizabad,9,177
48,48,Ambedkar Nagar,Ambedkar Nagar,9,178
49,49,Sultanpur,Sultanpur,9,179
50,50,Bahraich,Bahraich,9,180
51,51,Shrawasti,Shrawasti,9,181
52,52,Balrampur,Balrampur,9,182
53,53,Gonda,Gonda,9,183
54,54,Siddharthnagar,Siddharthnagar,9,184
55,55,Basti,Basti,9,185
56,56,Sant Kabir Nagar,Sant Kabir Nagar,9,186
57,57,Mahrajganj,Mahrajganj,9,187
58,58,Gorakhpur,Gorakhpur,9,188
59,59,Kushinagar,Kushinagar,9,189
60,60,Deoria,Deoria,9,190
61,61,Azamgarh,Azamgarh,9,191
62,62,Mau,Mau,9,192
63,63,Ballia,Ballia,9,193
64,64,Jaunpur,Jaunpur,9,194
65,65,Ghazipur,Ghazipur,9,195
66,66,Chandauli,Chandauli,9,196
67,67,Varanasi,Varanasi,9,197
68,68,Sant Ravidas Nagar (Bhadohi),Sant Ravidas Nagar (Bhadohi),9,198
69,69,Mirzapur,Mirzapur,9,199
70,70,Sonbhadra,Sonbhadra,9,200
71,71,Etah,Etah,9,201
72,72,Kanshiram Nagar *,Kanshiram Nagar *,9,202
73,73,AMETHI(NEW),AMETHI(NEW),9,
74,74,Shamli,Shamli,9,660
75,75,Sambhal,Sambhal,9,659
76,76,Hapur,Hapur,9,661
