BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
1,Sadholi Kadeem,Sadholi Kadeem,Sadholi Kadeem,1,0001,1499
2,Muzzafrabad,Muzzafrabad,Muzzafrabad,1,0001,1493
3,Puwarka,Puwarka,Puwarka,1,0002,1497
4,Balliyakhare,Balliyakhare,Balliyakhare,1,0002,1490
5,Sarsawa,Sarsawa,Sarsawa,1,0003,1500
6,Nukkur,Nukkur,Nukkur,1,0003,1495
7,Gangoha,Gangoha,Gangoha,1,0003,1492
8,Rampur Maniharan,Rampur Maniharan,Rampur Maniharan,1,0004,1498
9,Nangal,Nangal,Nangal,1,0004,1494
10,Naunata,Naunata,Naunata,1,0004,1496
11,Daoband,Daoband,Daoband,1,0004,1491
12,Unn,Unn,Unn,74,0006,1438
13,Kairona,Kairona,Kairona,74,0006,1429
14,Thanabhawan,Thanabhawan,Thanabhawan,74,0007,1437
15,Shamli,Shamli,Shamli,74,0007,1436
16,Kandhla,Kandhla,Kandhla,74,0007,1430
17,Casthawal,Casthawal,Casthawal,2,0011,
18,Purkaji,Purkaji,Purkaji,2,0008,1434
19,Sadar,Sadar,Sadar,2,0008,
20,Baghra,Baghra,Baghra,2,0008,1425
21,Budana,Budana,Budana,2,0011,1426
22,Shahpur,Shahpur,Shahpur,2,0009,
23,Morna,Morna,Morna,2,0011,1432
24,Jansath,Jansath,Jansath,2,0011,1428
25,Khathauli,Khathauli,Khathauli,2,0011,1431
26,NAZIBABAD,Najibabad,Najibabad,3,0,996
27,Kiratpur,Kiratpur,Kiratpur,3,0267,993
28,CHANDAK,Chandok,Mohmadpur (D.),3,0013,
29,Haldaur,Haldaur,Haldaur,3,0016,991
30,Kotwali,Kotwali,Kotwali,3,0014,994
31,KASIMPUR GARHI,Kasimpur Garih,Afjialgarh,3,0015,
32,NATAHOR,Nehtaur,Nehtaur,3,0015,997
33,Dhampur,Dhampur,Dhampur,3,0015,990
34,SYOHARA,Seohara,Seohara,3,0015,989
35,Jalilpur,Jalilpur,Jalilpur,3,0016,992
36,Noorpur,Noorpur,Noorpur,3,0016,998
37,Thakurdwara,Thakurdwara,Thakurdwara,4,0017,1424
38,Dilhari,Dilhari,Dilhari,4,0017,1418
39,Chhajlet,Chhajlet,Chhajlet,4,0018,1417
40,Amroha,Amroha,Amroha,6,0030,1252
41,Bhagatpur Tanda,Bhagatpur Tanda,Bhagatpur Tanda,4,0019,1415
42,Moradabad Sadar,Moradabad Sadar,Moradabad Sadar,4,0019,1420
43,Dalpatpur,Dalpatpur,Dalpatpur,4,0019,
44,Dingarpur,Dingarpur,Dingarpur,4,0020,
45,Bilhari,Bilhari,Bilhari,4,0020,1416
46,Baniakhera,Baniakhera,Baniakhera,75,0022,1414
47,Asmoli,Asmoli,Asmoli,75,0021,1412
48,Panwasa,Panwasa,Panwasa,75,0021,1422
49,Sambhal,Sambhal,Sambhal,75,0021,1423
50,Bahjoi,Bahjoi,Bahjoi,75,0022,1413
51,Suwar,Suwar,Suwar,5,0023,
52,Bilaspur,Bilaspur,Bilaspur,5,0025,1484
53,Saidnagar,Saidnagar,Saidnagar,5,0026,1487
54,Chamraua,Chamraua,Chamraua,5,0026,1485
55,Shahabad,Shahabad,Shahabad,5,0027,1488
56,Milak,Milak,Milak,5,0028,1486
57,Dhanaura,Dhanaur,Dhanaur,6,0029,1253
58,Joya,Joya,Joya,6,0030,1257
59,Gajraula,Gajraula,Gajraula,6,0029,1254
60,Hasanpur,Hasanpur,Hasanpur,6,0031,1256
61,Gegesuwari,Gegesuwari,Gegesuwari,6,0031,
62,Sarurpur,Sarurpur,Sarurpur,7,0032,1399
63,Sardhna,Sardhna,Sardhna,7,0032,1398
64,DAURALA,DAURALA,Dorala,7,0032,1388
65,Mewana,Mewana,Mewana,7,0033,1393
66,Hastinapur,Hastinapur,Hastinapur,7,0033,1389
67,Parikshitgarh,Parikshitgarh,Parikshitgarh,7,0033,1395
68,Machhra,Machhra,Machhra,7,0033,1392
69,Rohta,Rohta,Rohta,7,0034,1397
70,Jaani khurd,Jaani khurd,Jaani,7,0034,1390
71,BHOORBARAL,BHOORBARAL,Merrut,7,0034,
