SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000000,Do not delete it,Do not delete it,0,0,0,
10000001,shivpur,shivpur,0303,69,105871,212809
10000002,Mahmood pur,Mahmood pur,0310,72,17383,
10000003,Gadibhadurpur,,0009,2,2289,111138
10000004,Dulhera,Dulhera,0009,2,2275,111131
10000005,Gadibhadurpur,Gadibhadurpur,0009,2,2274,111130
10000006,Titihiriyapur,Titihiriyapur,0009,2,53859,111120
10000007,Chandpur,Chandpur,0009,2,2276,111132
10000008,Shadruddinnagar,Shadruddinnagar,0009,2,2292,111141
10000009,Mundbhar,Mundbhar,0009,2,2249,111105
10000010,Bhourakhurd,Bhourakhurd,0009,2,2209,111065
10000011,Kherisudiyan,Kherisudiyan,0009,2,2274,111130
10000012,Nizampur,Nizampur,0009,2,2276,111132
10000013,Basudhada,Basudhada,0009,2,2264,111120
10000014,Khubbapur,Khubbapur,0009,2,2292,111141
10000015,Dabal,Dabal,0009,2,2289,111138
10000016,Hazoornagar,Hazoornagar,0009,2,2292,111141
10000017,inchoda,inchoda,0009,2,2242,111098
10000018,Kitas,Kitas,0009,2,2264,111120
10000019,shahjuddi,shahjuddi,0009,2,2289,111138
10000020,Nehru Nagar,,0156,36,45093,152198
10000021,Bhagoniya,Bhagoniya,0156,36,45011,152122
10000022,Azad Nagar,Azad Nagar,0156,36,44991,152106
10000023,SDM Colony,SDM Colony,0156,36,44991,152106
10000024,Apo Ka Nala,Apo Ka Nala,0156,36,44991,152106
10000025,Dhingpura,Dhingpura,0156,36,44931,152053
10000026,Kula,Kula,0156,36,45032,152141
10000027,Jhansi Sarai,Jhansi Sarai,0156,36,44980,152098
10000028,Ganeshpura,Ganeshpura,0156,36,44985,152101
10000029,Ujyarpura,Ujyarpura,0156,36,44949,152070
10000030,Saya Dasna,Saya Dasna,0156,36,45078,152183
10000031,Maharajpura,Maharajpura,0160,36,45740,152772
10000032,Tarpatha,,0160,36,45740,152772
10000033,Hardaulpura,Hardaulpura,0160,36,45740,152772
10000034,Parichha Tharmal,Parichha Tharmal,0160,36,45740,152772
10000035,,,0160,36,0,
10000036,Railway Colony,Railway Colony,0160,36,45740,152772
10000037,barata ghat,barata ghat,0160,36,45740,152772
10000038,Parichha Gaon,Parichha Gaon,0160,36,45740,152772
10000039,Parichha Gaon,Parichha Gaon,0160,36,45740,152772
10000040,police chouki,police chouki,0160,36,45740,152772
10000041,Baruasagar,Baruasagar,0160,36,45868,152861
10000042,Baruasagar,Baruasagar,0160,36,45868,152861
10000043,Baruasagar,Baruasagar,0160,36,45868,152861
10000044,Milan,Milan,0160,36,45868,152861
10000045,Kuryana,Kuryana,0160,36,45868,152861
10000046,Bazar,Bazar,0160,36,45868,152861
10000047,Khatakyana,Khatakyana,0160,36,45868,152861
10000048,Tiletha Chota,Tiletha Chota,0160,36,45868,152861
10000049,Tiletha Bara,Tiletha Bara,0160,36,45868,152861
10000050,Tiletha Bara,Tiletha Bara,0160,36,45868,152861
10000051,Matwana,Matwana,0160,36,45868,152861
10000052,Matwana,Matwana,0160,36,45868,152861
10000053,Nai basti,Nai basti,0160,36,45868,152861
10000054,A.K.Toriya,A.K.Toriya,0160,36,45868,152861
10000055,L.K.toriya (Matvana),L.K.toriya (Matvana),0160,36,45868,152861
10000056,BanGaon Bada,BanGaon Bada,0160,36,45868,152861
10000057,Gadharriya khirak,Gadharriya khirak,0160,36,45868,152861
10000058,Mavai,Mavai,0160,36,45868,152861
10000059,Konchha Bhawar,Konchha Bhawar,0160,36,45868,152861
10000060,Shankargarh,Shankargarh,0160,36,45868,152861
10000061,Tankori,Tankori,0160,36,45868,152861
10000062,Gandhinagar,Gandhinagar,0160,36,45868,152861
10000063,Pritampur,Pritampur,0160,36,45868,152861
10000064,Gopalpura,Gopalpura,0160,36,45868,152861
10000065,Data Nagar,Data Nagar,0160,36,45868,152861
10000066,prem ka dera,prem ka dera,0160,36,45868,152861
10000067,pal colony,pal colony,0160,36,45868,152861
10000068,hastinapur,hastinapur,0160,36,45868,152861
10000069,rudhra karari,rudhra karari,0160,36,45868,152861
10000070,Buddha,Buddha,0160,36,45868,152861
10000071,nagariya kua,nagariya kua,0160,36,45868,152861
10000072,KESHAVPUR,KESHAVPUR,0160,36,61547,152861
10000073,Bhattagaon,Bhattagaon,0160,36,45868,152861
10000074,Singarra,Singarra,0160,36,45868,152861
10000075,Bhimnagar,Bhimnagar,0160,36,45868,152861
10000076,Karguan,Karguan,0160,36,45868,152861
10000077,Pichhor,Pichhor,0160,36,45868,152861
10000078,Dhavari,Dhavari,0157,36,45332,152398
10000079,Lohargaon,Lohargaon,0157,36,45332,152398
10000080,Lohargaon,Lohargaon,0157,36,45332,152398
10000081,Banka Pahari,Banka Pahari,0157,36,45332,152398
10000082,Atrauli,Atrauli,0157,36,45332,152398
10000083,Ghari kargaon,Ghari kargaon,0157,36,45332,152398
10000084,Semari Kachhiyan,Semari Kachhiyan,0157,36,45332,152398
10000085,Rajwara,Rajwara,0157,36,45332,152398
10000086,Mavae,Mavae,0160,36,45723,152764
10000087,Mavae,Mavae,0157,36,45332,152398
10000088,Mazara,Mazara,0157,36,45332,152398
10000089,Tendua,Tendua,0157,36,45332,152398
10000090,Vikarmpura,Vikarmpura,0157,36,45332,152398
10000091,Badaganj,Badaganj,0157,36,45332,152398
10000092,Badaganj,Badaganj,0157,36,45332,152398
10000093,Khadiya,Khadiya,0157,36,45332,152398
10000094,Khushipura,Khushipura,0157,36,45332,152398
10000095,Badwar,Badwar,0157,36,45332,152398
10000096,Dabar,Dabar,0157,36,45332,152398
